,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.05,0.18,0.18,0.14,0.0,0.35,0.16,0.23,0.26,0.16,0.25,0.15,0.5
codepurge.csv,0.0,0.12,0.02,0.17,0.07,0.14,0.32,0.09,0.28,0.08,0.0,0.17,0.17
crisscross.csv,0.36,0.0,0.2,0.43,0.27,0.35,0.41,0.21,0.2,0.16,0.14,0.35,0.44
elvishrayrenderer.csv,0.39,0.51,0.58,0.89,0.47,0.68,0.95,0.53,0.67,0.48,0.52,0.79,0.0
gwanted.csv,0.05,0.01,0.84,0.0,0.0,0.0,0.16,0.86,0.1,0.01,0.0,0.11,0.0
jitterbit.csv,0.59,0.41,0.33,0.6,0.2,0.65,0.27,0.0,0.47,0.22,0.41,0.25,0.44
ldview.csv,0.2,0.29,0.66,0.37,0.24,0.05,0.41,0.29,0.26,0.26,0.43,0.17,0.61
libopenmetaverse.csv,0.02,0.28,0.66,0.0,0.91,0.54,0.87,0.82,0.57,0.6,0.71,0.46,0.78
mb-unit.csv,0.05,0.48,0.06,0.34,0.89,0.14,0.73,0.56,0.48,0.49,0.22,0.34,0.67
mvdsv.csv,0.02,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.0,0.17,0.13,0.37,0.16,0.11,0.35,0.16,0.42,0.26,0.24,0.28,0.5
olex2.csv,0.11,0.28,0.24,0.37,0.44,0.19,0.37,0.42,0.39,0.42,0.17,0.01,0.44
tolven.csv,0.57,0.75,0.3,0.57,0.24,0.68,0.46,0.74,0.0,0.93,0.72,0.25,0.33
