,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.85,0.83,0.8,0.93,0.04,0.93,1.01,0.88,0.75,0.77,0.91,0.9,0.84
codepurge.csv,0.92,0.72,0.89,0.77,0.94,0.73,0.46,0.64,0.43,0.86,0.12,0.7,0.64
crisscross.csv,0.59,0.14,0.75,0.75,0.82,0.84,1.08,0.79,0.6,0.73,0.76,0.68,0.81
elvishrayrenderer.csv,0.73,0.56,0.68,0.9,0.76,0.72,0.95,0.62,0.67,0.64,0.67,0.84,0.03
gwanted.csv,0.85,1.0,0.89,0.92,1.0,1.0,0.37,0.87,0.76,0.11,1.0,0.96,0.97
jitterbit.csv,0.85,0.7,0.7,0.76,0.93,0.78,0.43,0.03,0.6,0.55,0.89,0.64,0.74
ldview.csv,0.72,0.68,0.8,0.67,0.94,0.15,0.53,0.55,0.8,0.47,0.79,0.79,0.75
libopenmetaverse.csv,0.85,0.59,0.76,0.0,0.91,0.69,0.87,0.83,0.59,0.69,0.74,0.65,0.85
mb-unit.csv,0.69,0.64,0.06,0.73,0.89,0.96,0.73,0.82,0.59,0.59,0.58,0.52,0.82
mvdsv.csv,1.0,1.0,1.0,0.97,1.0,0.91,0.0,0.99,1.0,1.0,1.0,0.98,0.97
nova.csv,0.0,0.51,0.78,0.94,0.88,0.91,1.06,0.62,0.55,0.7,0.56,0.57,0.71
olex2.csv,0.78,0.72,0.63,0.58,0.75,0.74,0.49,0.64,0.58,0.6,0.93,0.04,0.69
tolven.csv,0.69,0.94,0.64,0.71,0.77,0.73,0.57,0.77,0.03,0.95,0.81,0.67,0.68
