,nova.csv,crisscross.csv,mb-unit.csv,libopenmetaverse.csv,betoffice.csv,ldview.csv,mvdsv.csv,jitterbit.csv,tolven.csv,gwanted.csv,codepurge.csv,olex2.csv,elvishrayrenderer.csv
betoffice.csv,0.5,0.18,0.88,0.38,1.0,0.19,0.0,0.2,0.32,0.24,0.08,0.39,0.55
codepurge.csv,1.0,0.33,0.97,0.6,0.5,0.55,0.17,0.6,0.5,0.27,1.0,0.61,0.81
crisscross.csv,0.3,1.0,0.89,0.48,0.45,0.28,0.0,0.29,0.47,0.27,0.23,0.5,0.58
elvishrayrenderer.csv,0.23,0.24,0.87,0.49,0.46,0.39,0.09,0.32,0.36,0.2,0.16,0.43,1.0
gwanted.csv,0.5,0.0,0.83,1.0,0.0,0.0,0.29,0.28,0.5,0.96,0.0,0.27,1.0
jitterbit.csv,0.16,0.18,0.87,0.48,0.31,0.33,0.19,0.99,0.35,0.32,0.08,0.58,0.64
ldview.csv,0.31,0.22,0.83,0.55,0.27,0.9,0.13,0.41,0.28,0.32,0.11,0.54,0.63
libopenmetaverse.csv,0.67,0.26,0.85,1.0,0.51,0.38,0.1,0.28,0.38,0.18,0.16,0.5,0.61
mb-unit.csv,0.67,0.2,0.99,0.52,0.51,0.17,0.12,0.21,0.36,0.22,0.26,0.6,0.6
mvdsv.csv,0.0,0.0,0.0,0.5,0.0,0.67,1.0,0.67,0.0,0.0,0.0,1.0,1.0
nova.csv,1.0,0.39,0.91,0.28,0.46,0.33,0.0,0.48,0.39,0.22,0.26,0.6,0.65
olex2.csv,0.38,0.2,0.91,0.61,0.47,0.46,0.15,0.32,0.38,0.22,0.07,0.98,0.67
tolven.csv,0.24,0.11,0.89,0.51,0.52,0.38,0.12,0.29,1.0,0.15,0.13,0.56,0.7
