,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.03,0.13,0.93,0.55,1.0,0.08,0.18,0.32,0.67,0.08,0.27,0.4,0.79,0.28,0.12,0.84,0.48
blogentis.csv,0.01,0.14,0.8,0.47,0.78,0.05,0.48,0.86,0.36,0.19,0.27,0.15,0.28,0.32,0.82,0.7,0.29
bochs.csv,0.01,0.09,0.93,0.57,0.97,0.09,0.32,0.26,0.6,0.23,0.33,0.31,0.42,0.34,0.27,0.73,0.5
galaxium.csv,0.0,0.12,0.93,0.49,0.96,0.14,0.35,0.86,0.61,0.23,0.52,0.5,0.35,0.66,0.59,0.73,0.35
gisgraphy.csv,0.02,0.14,0.97,0.62,0.96,0.11,0.31,0.31,0.43,0.2,0.26,0.3,0.55,0.39,0.12,0.82,0.67
haphazard.csv,0.01,0.11,0.88,0.47,0.78,0.07,0.47,0.64,0.34,0.3,0.17,0.26,0.35,0.18,0.74,0.64,0.26
ipfire-wall.csv,0.02,0.17,0.94,0.51,1.0,0.09,0.25,0.67,0.51,0.2,0.62,0.44,0.48,0.42,0.38,0.85,0.18
jmri.csv,0.01,0.11,0.96,0.65,1.0,0.09,0.27,0.3,0.65,0.18,0.33,0.44,0.43,0.34,0.14,0.83,0.34
jvcl.csv,0.5,0.24,0.94,0.65,1.0,0.18,0.33,0.59,0.77,0.12,0.54,0.62,0.56,0.0,0.29,0.9,0.31
kaffeine.csv,0.01,0.1,0.92,0.53,0.98,0.09,0.31,0.33,0.53,0.2,0.34,0.34,0.32,0.48,0.33,0.73,0.31
m-a-d-n-e-s-s.csv,0.01,0.1,0.95,0.6,1.0,0.17,0.33,0.84,0.77,0.28,0.62,0.61,0.45,0.56,0.57,0.64,0.25
magicwars.csv,0.01,0.11,0.87,0.48,0.82,0.07,0.28,0.81,0.42,0.21,0.33,0.3,0.41,0.31,0.41,0.74,0.31
nh3d.csv,0.67,0.0,0.87,0.61,0.82,0.06,0.26,0.31,0.51,0.2,0.33,0.3,0.41,0.29,0.23,0.74,0.31
opentibia.csv,0.01,0.05,0.97,0.54,1.0,0.12,0.41,0.33,0.38,0.3,0.26,0.15,0.43,0.38,0.21,0.8,0.5
sarasvati.csv,0.01,0.05,0.92,0.43,1.0,0.17,0.15,0.46,0.7,0.21,0.43,0.6,0.33,0.41,0.44,0.67,0.29
smartgwt.csv,0.0,0.14,0.95,0.45,1.0,0.06,0.27,0.25,0.51,0.16,0.41,0.39,0.39,0.25,0.56,0.79,0.34
tweetsharp.csv,0.0,0.2,0.89,0.46,0.78,0.07,0.18,0.28,0.43,0.09,0.13,0.24,0.59,0.24,0.08,0.89,0.44
