,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.1,0.23,0.17,0.34,0.0,0.46,0.46,0.6,0.21,0.21,0.43,0.15,0.13,0.15,0.61,0.33,0.25
blogentis.csv,0.52,0.31,0.92,0.29,1.0,0.11,0.3,0.01,0.81,0.58,0.65,0.28,0.7,0.3,0.01,0.87,0.56
bochs.csv,0.99,0.87,0.42,0.4,0.09,0.62,0.36,0.98,0.38,0.44,1.0,0.82,0.5,0.68,0.49,1.0,0.33
galaxium.csv,0.68,0.78,0.25,0.43,0.09,0.12,0.32,0.02,0.2,0.71,0.3,0.27,0.8,0.16,0.15,0.47,0.35
gisgraphy.csv,0.16,0.36,0.17,0.26,0.09,0.47,0.35,0.99,0.51,0.08,0.84,0.32,0.17,0.32,0.28,0.47,0.17
haphazard.csv,0.95,0.87,0.5,0.56,1.0,0.4,0.14,0.07,0.54,0.31,0.41,0.83,0.87,0.64,0.02,0.6,0.52
ipfire-wall.csv,0.52,0.03,0.17,0.24,0.0,0.18,0.78,0.04,0.37,0.67,0.27,0.3,0.37,0.16,0.3,0.2,0.69
jmri.csv,0.54,0.88,0.08,0.32,0.0,0.66,0.91,0.7,0.2,0.52,0.78,0.3,0.4,0.26,0.79,0.33,0.6
jvcl.csv,0.01,0.2,0.08,0.09,0.0,0.09,0.45,0.07,0.06,0.27,0.16,0.08,0.23,0.0,0.34,0.07,0.23
kaffeine.csv,0.53,0.99,0.5,0.52,0.09,0.52,0.68,0.74,0.36,0.83,0.95,0.75,0.93,0.37,0.6,0.93,0.79
m-a-d-n-e-s-s.csv,0.93,0.62,0.08,0.14,0.0,0.15,0.38,0.02,0.04,0.4,0.14,0.18,0.4,0.09,0.13,0.27,0.19
magicwars.csv,1.0,0.81,1.0,0.94,1.0,0.91,0.91,0.07,1.0,0.96,1.0,0.98,1.0,0.86,0.39,1.0,0.9
nh3d.csv,0.01,0.0,1.0,0.15,1.0,1.0,1.0,0.99,0.51,1.0,1.0,0.98,1.0,0.99,0.99,1.0,1.0
opentibia.csv,0.64,0.28,0.17,0.32,0.0,0.47,0.14,0.58,0.43,0.13,0.86,0.28,0.4,0.32,0.1,0.4,0.25
sarasvati.csv,0.38,0.48,0.25,0.49,0.0,0.28,0.42,0.25,0.07,0.5,0.32,0.1,0.47,0.45,0.28,0.2,0.6
smartgwt.csv,0.06,0.13,0.17,0.58,0.0,0.42,0.32,0.67,0.3,0.4,0.59,0.55,0.57,0.48,0.18,0.53,0.69
tweetsharp.csv,0.01,0.06,0.5,0.67,0.36,0.76,0.46,0.97,0.48,0.38,0.73,0.37,0.23,0.48,0.66,0.27,0.38
