,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.85,0.71,0.63,0.86,0.6,0.09,0.5,0.49,0.38,0.75,0.6,0.75
gamestone.csv,0.0,0.17,0.11,0.42,0.33,0.0,0.48,0.15,0.31,0.17,0.2,0.7
gbif-providertoolkit.csv,0.81,0.54,0.49,0.28,0.31,0.43,0.41,0.54,0.31,0.4,0.9,0.1
heekscad.csv,0.21,0.25,0.35,0.61,0.57,0.43,0.52,0.26,0.38,0.9,0.4,0.68
igarden.csv,0.32,0.23,0.3,0.36,0.46,0.26,0.37,0.19,0.15,0.52,0.3,0.61
levent.csv,0.23,0.02,0.0,0.0,0.73,0.43,0.17,0.0,0.0,0.0,0.0,0.0
libmesh.csv,0.7,0.31,0.61,0.62,0.33,0.0,0.3,0.51,0.46,0.25,0.6,0.1
openmsx.csv,0.91,0.85,0.3,0.56,0.33,0.65,0.76,0.34,0.31,0.12,0.7,0.0
pnotepad.csv,0.21,0.46,0.72,0.96,0.91,0.57,0.65,0.82,0.58,1.0,0.1,0.83
quark.csv,0.15,0.02,0.03,0.07,0.12,0.0,0.09,0.02,0.0,0.23,0.0,0.33
tango-cs.csv,0.66,0.17,0.63,0.71,0.76,0.57,0.39,0.7,0.35,0.85,0.4,0.32
xcsoar.csv,0.19,0.13,0.23,0.49,0.3,0.26,0.46,0.44,0.23,1.0,0.0,0.55
