,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.59,0.91,0.43,0.99,0.9,0.94,0.94,0.93,0.88,0.57,0.66,0.96,0.96
apolloplayer.csv,0.76,0.56,0.85,0.39,0.43,0.57,0.57,0.34,0.5,0.48,0.58,0.58,0.6
auber.csv,0.75,0.46,0.52,0.34,0.38,0.46,0.42,0.51,0.67,0.48,0.53,0.36,0.48
irrlicht.csv,0.4,0.44,0.38,0.34,0.38,0.45,0.35,0.32,0.57,0.47,0.49,0.44,0.39
k3d.csv,0.53,0.8,0.83,0.88,0.39,0.95,0.71,0.54,0.67,0.56,0.97,0.77,0.66
nug.csv,0.53,0.7,0.68,0.6,0.43,0.96,0.47,0.4,0.59,0.81,0.75,0.96,0.54
owlapi.csv,0.59,0.96,0.88,0.98,0.65,0.8,0.45,0.86,0.83,0.57,0.79,0.84,0.67
ppcboot.csv,0.4,0.47,0.38,0.34,0.38,0.46,0.37,0.52,0.85,0.47,0.44,0.36,0.39
red5.csv,0.41,0.49,0.42,0.85,0.39,0.55,0.35,0.44,0.61,0.51,0.47,0.41,0.42
redshell.csv,0.92,0.97,0.85,0.43,0.45,0.57,0.4,0.62,0.69,0.59,0.69,0.82,0.87
utgb.csv,0.72,0.53,0.8,0.99,0.53,0.64,0.87,0.92,0.58,0.96,0.55,0.84,0.72
xreal.csv,0.97,0.82,0.88,0.97,0.5,0.98,0.6,0.54,0.65,0.98,0.91,0.88,0.8
