,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.48,0.97,0.71,1.03,0.87,0.92,0.85,0.78,0.75,0.71,0.68,1.01,0.86
apolloplayer.csv,0.81,0.34,0.68,0.62,0.72,0.66,0.51,0.89,0.76,0.68,0.66,0.63,0.46
auber.csv,0.65,0.93,0.96,1.0,1.0,0.89,0.81,0.83,0.59,1.0,0.84,0.98,0.32
irrlicht.csv,0.98,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.62,0.68,1.0
k3d.csv,0.77,0.92,0.77,1.0,0.73,0.89,0.24,0.68,0.71,0.85,0.86,0.84,0.67
nug.csv,0.7,0.72,0.28,0.45,0.66,0.86,0.68,0.75,0.98,0.82,0.71,1.04,0.93
owlapi.csv,0.59,0.87,0.65,0.09,0.61,0.64,0.87,0.84,0.67,0.35,0.73,1.06,0.87
ppcboot.csv,1.0,0.81,1.0,1.0,1.0,0.88,0.92,0.66,0.48,1.0,0.98,1.0,1.0
red5.csv,0.85,0.56,0.78,0.26,0.64,0.67,0.95,0.46,0.88,0.64,0.86,0.83,0.88
redshell.csv,0.85,0.74,0.82,1.24,0.76,0.44,0.85,0.84,0.8,0.92,0.72,0.71,0.64
utgb.csv,0.65,0.65,0.95,1.01,0.41,0.84,0.76,0.77,0.84,0.9,0.73,0.63,0.7
xreal.csv,0.93,0.95,1.02,1.0,0.71,0.78,0.78,0.79,0.86,1.0,0.85,0.02,0.99
