,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,2.0,9.0,0.0,490.0,1.0,0.0,4.0,0.0,0.0,39.0,0.0,183.0,0.0
apolloplayer.csv,37.0,1.0,0.0,199.0,0.0,0.0,8.0,0.0,0.0,26.0,0.0,22.0,1.0
auber.csv,6.0,8.0,0.0,379.0,2.0,0.0,0.0,0.0,0.0,47.0,0.0,42.0,1.0
irrlicht.csv,9.0,0.0,0.0,379.0,2.0,0.0,68.0,0.0,0.0,47.0,0.0,23.0,1.0
k3d.csv,5.0,2.0,0.0,490.0,3.0,0.0,2.0,0.0,0.0,40.0,0.0,34.0,4.0
nug.csv,9.0,0.0,0.0,147.0,1.0,0.0,49.0,0.0,0.0,22.0,0.0,183.0,0.0
owlapi.csv,2.0,10.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,183.0,1.0
ppcboot.csv,9.0,0.0,0.0,379.0,2.0,0.0,0.0,2.0,0.0,47.0,0.0,42.0,1.0
red5.csv,8.0,2.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,36.0,1.0
redshell.csv,7.0,0.0,0.0,490.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,31.0,1.0
utgb.csv,11.0,10.0,3.0,490.0,1.0,0.0,9.0,1.0,0.0,11.0,0.0,4.0,0.0
xreal.csv,7.0,6.0,52.0,490.0,1.0,0.0,31.0,0.0,0.0,23.0,0.0,0.0,1.0
