,agilitybook.csv,apolloplayer.csv,nug.csv,gotjava.csv,utgb.csv,redshell.csv,k3d.csv,red5.csv,ppcboot.csv,owlapi.csv,irrlicht.csv,xreal.csv,auber.csv
agilitybook.csv,0.25,0.09,0.32,0.0,0.5,0.94,0.15,0.71,0.51,0.18,0.86,0.0,0.48
apolloplayer.csv,0.12,0.5,0.46,0.0,0.55,0.97,0.24,0.57,0.56,0.19,0.82,0.03,0.77
auber.csv,0.17,0.22,0.16,0.0,0.52,0.96,0.14,0.53,0.6,0.15,0.76,0.03,0.8
irrlicht.csv,0.14,0.23,0.32,0.0,0.53,0.96,0.15,0.6,0.53,0.16,0.81,0.03,0.55
k3d.csv,0.11,0.4,0.67,0.0,0.52,1.0,0.45,0.64,0.55,0.14,0.77,0.02,0.66
nug.csv,0.14,0.23,0.64,0.0,0.57,1.0,0.17,0.6,0.52,0.12,0.77,0.0,0.46
owlapi.csv,0.18,0.17,0.41,0.02,0.82,0.99,0.1,1.0,0.57,0.34,0.77,0.0,0.43
ppcboot.csv,0.13,0.24,0.32,0.0,0.53,0.96,0.15,0.65,0.73,0.16,0.78,0.03,0.55
red5.csv,0.14,0.33,0.38,0.01,0.59,0.97,0.15,0.74,0.54,0.22,0.77,0.03,0.56
redshell.csv,0.09,0.24,0.25,0.0,0.52,0.98,0.14,0.5,0.55,0.12,0.77,0.03,0.69
utgb.csv,0.21,0.31,0.2,0.0,0.77,0.94,0.18,0.77,0.48,0.11,0.77,0.05,0.72
xreal.csv,0.08,0.1,0.0,0.0,0.53,0.98,0.12,0.54,0.43,0.04,0.72,0.62,0.2
