,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.0,0.0,0.31,0.05,0.95,0.5,0.22,0.1,0.23,0.43,0.14,0.31,0.15,0.29,0.25,0.0,0.05
codeblocks.csv,0.37,0.98,0.18,0.4,0.33,0.57,0.85,0.23,0.54,0.19,0.09,0.48,0.83,0.0,0.42,0.93,0.19
grisbi.csv,0.65,0.77,0.71,0.74,0.38,0.67,0.97,0.23,0.39,0.19,0.12,0.51,0.81,0.65,0.51,0.81,0.72
libmesh.csv,0.44,0.41,0.44,0.31,0.11,0.47,0.51,0.18,0.94,0.14,0.08,0.25,0.34,0.52,0.26,0.32,0.34
panda3d.csv,0.04,0.36,0.35,0.23,0.17,0.5,0.06,0.1,0.23,0.14,0.05,0.95,0.6,0.15,0.27,0.62,0.28
proftp.csv,0.44,0.41,0.56,0.47,0.3,0.93,0.51,0.26,0.13,0.15,0.14,0.41,0.27,0.44,0.4,0.5,0.14
red5.csv,0.54,0.31,0.5,0.98,0.06,0.21,0.08,0.22,0.53,0.17,0.0,0.26,0.61,0.21,0.6,0.35,0.5
skia.csv,0.39,0.28,0.64,0.51,0.29,0.43,0.28,0.23,0.23,0.08,0.13,0.39,0.2,0.47,1.0,0.63,0.5
soar.csv,0.62,0.8,0.62,0.67,0.29,0.4,0.7,0.19,0.5,0.22,0.12,0.41,0.85,1.0,0.35,0.8,0.72
super-tux.csv,0.6,0.84,0.55,0.64,0.38,0.62,0.9,0.22,0.53,0.2,0.1,0.48,1.0,0.06,0.51,0.98,0.52
t-2.csv,0.55,0.45,0.4,0.53,0.38,0.35,0.81,0.96,0.52,0.0,0.04,0.34,0.68,0.68,0.24,0.51,0.69
tart.csv,0.25,0.17,0.31,0.04,0.14,0.46,0.26,0.14,0.07,0.0,0.89,0.0,0.19,0.68,0.08,0.05,0.2
tcvp.csv,0.23,0.57,0.53,0.38,0.3,0.26,0.35,0.09,0.12,0.88,0.1,0.44,0.19,0.64,0.27,0.41,0.52
tencompetence.csv,0.49,0.41,0.38,0.41,0.27,0.19,0.4,0.12,0.3,0.11,0.0,0.25,0.51,0.46,0.28,0.06,0.99
utgb.csv,0.39,0.29,0.99,0.45,0.22,0.27,0.19,0.07,0.0,0.0,0.0,0.22,0.19,0.64,0.29,0.3,0.44
xbrlapi.csv,0.96,0.53,0.33,0.5,0.24,0.36,0.69,0.11,0.35,0.11,0.0,0.28,0.32,0.5,0.29,0.32,0.55
zemljanka.csv,0.67,0.86,0.69,0.71,0.34,0.62,0.9,0.22,0.53,0.2,0.14,0.48,0.68,0.67,0.49,1.0,0.78
