,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.78,0.71,0.68,0.6,0.83,0.82,0.85,0.8,0.81,0.88,0.75,0.61,0.63,0.36,0.47,0.64,0.98,0.78
archive-crawler.csv,0.44,0.63,0.68,0.39,0.64,0.61,0.51,0.48,0.84,0.64,0.7,0.58,0.51,0.73,0.51,0.69,1.11,0.67
customwars.csv,0.66,0.47,0.62,0.78,0.66,0.57,0.58,0.51,0.27,0.67,0.64,0.7,0.72,0.98,0.67,0.67,0.62,0.55
gbif-providertoolkit.csv,0.9,0.68,0.78,0.71,0.65,0.46,0.95,0.94,0.63,0.83,0.69,0.81,0.85,0.91,0.77,0.78,0.82,0.91
gss.csv,0.41,0.51,0.57,0.92,0.41,0.79,0.43,0.53,0.6,0.53,0.87,0.69,0.72,0.97,0.54,0.52,0.6,0.31
heekscad.csv,0.35,0.47,0.68,0.52,0.45,0.57,0.44,0.64,0.36,0.58,0.74,0.56,0.58,0.71,0.34,0.48,0.87,0.54
ikvm.csv,0.95,0.75,0.22,0.58,0.99,0.91,0.89,0.79,0.57,0.75,0.77,0.97,0.89,0.8,0.98,0.93,0.59,0.96
jaxen.csv,0.94,0.87,0.49,0.73,0.83,0.79,0.87,0.75,0.1,0.78,0.87,0.89,0.83,0.93,0.82,0.94,0.7,0.87
jcae.csv,0.67,0.77,0.7,0.22,0.69,0.59,0.84,0.94,0.29,0.48,0.55,0.52,0.92,0.71,0.85,0.7,0.96,0.69
levent.csv,0.83,0.8,0.6,0.42,0.64,0.66,0.51,0.45,0.35,0.81,0.93,0.79,0.73,0.55,0.31,0.91,1.06,0.97
nicepress.csv,0.75,0.62,0.86,0.81,0.45,0.53,0.65,1.0,0.47,0.33,0.71,0.63,0.73,0.77,0.9,0.58,0.73,0.86
pnotepad.csv,0.45,0.73,0.92,1.0,0.46,0.92,0.6,0.64,0.76,0.7,0.97,0.66,0.66,0.95,0.48,0.1,0.76,0.56
qcad2.csv,0.58,0.51,0.66,0.38,0.6,0.73,0.4,0.58,0.4,0.74,0.64,0.56,0.67,0.77,0.39,0.67,1.14,0.66
qedo.csv,0.96,0.89,0.84,0.83,0.87,0.76,1.02,1.02,0.85,0.95,0.94,0.85,0.98,1.04,1.01,0.84,0.31,0.75
quarkplusplus.csv,0.64,0.86,0.81,0.78,0.69,0.55,0.65,0.72,0.75,0.55,0.66,0.47,0.52,0.56,0.39,0.59,0.91,0.65
sigil.csv,0.49,0.56,0.78,0.37,0.54,0.67,0.39,0.7,0.54,0.68,0.69,0.45,0.61,0.44,0.29,0.72,0.96,0.6
xcsoar.csv,0.41,0.37,0.59,0.49,0.64,0.45,0.58,0.69,0.41,0.5,0.7,0.82,0.63,0.77,0.51,0.75,0.94,0.67
xuggle.csv,0.58,0.74,0.44,0.97,0.31,0.62,0.71,0.7,0.3,0.51,0.74,0.68,0.68,0.93,0.51,0.42,0.64,0.67
