,vapor.csv,zscreen.csv,autoopencas.csv,mbse.csv,avisynth2.csv,lportal.csv,les-indemodables.csv,simplewebservices.csv,mplayer-ce.csv
autoopencas.csv,0.78,0.88,0.86,0.0,0.0,0.67,0.0,0.92,0.0
avisynth2.csv,0.0,0.67,0.0,0.5,0.67,0.94,0.8,0.5,0.86
les-indemodables.csv,0.46,0.65,0.58,0.45,0.94,0.51,0.58,0.48,0.46
lportal.csv,0.63,0.66,0.61,0.92,0.0,0.99,0.98,0.76,0.99
mbse.csv,0.58,0.68,0.55,0.79,0.89,0.6,0.81,0.62,0.57
mplayer-ce.csv,0.47,0.49,0.51,0.48,0.56,0.48,0.56,0.43,0.59
simplewebservices.csv,0.95,0.63,0.42,0.47,0.65,0.59,0.64,0.58,0.42
vapor.csv,0.77,0.67,0.83,0.97,0.0,0.75,0.74,0.94,0.86
zscreen.csv,0.47,0.48,0.56,0.36,0.58,0.46,0.49,0.44,0.37
