,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.73,0.42,0.77,0.33,0.69,0.27,0.0,0.21,0.62,0.52
clamav.csv,0.72,0.57,0.74,0.29,0.76,0.2,0.39,0.63,0.59,0.63
dvd-create.csv,0.61,0.42,0.76,0.35,0.86,0.31,0.0,0.61,0.6,0.56
gbif-indexingtoolkit.csv,0.77,0.35,0.41,0.33,0.6,0.34,0.0,0.34,0.41,0.46
go.csv,0.82,0.41,0.8,0.4,0.6,0.21,0.15,0.44,0.57,0.63
kwave.csv,0.82,0.37,0.78,0.44,0.89,0.34,0.36,0.53,0.64,0.59
libarchive.csv,0.79,0.41,0.8,0.31,0.83,0.27,0.42,0.67,0.56,0.66
liferea.csv,0.6,0.57,0.44,0.23,0.58,0.18,0.34,0.32,0.17,0.51
linux-ntfs.csv,0.68,0.42,0.63,0.28,0.81,0.32,0.29,0.6,0.63,0.59
mpgravity.csv,0.82,0.37,0.72,0.28,0.8,0.3,0.62,0.58,0.63,0.61
