,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.84,0.29,0.87,0.3,0.88,0.18,0.0,0.38,0.53,0.59
clamav.csv,0.79,0.41,0.73,0.21,0.84,0.13,0.28,0.62,0.48,0.53
dvd-create.csv,0.78,0.28,0.7,0.27,0.95,0.2,0.0,0.45,0.48,0.54
gbif-indexingtoolkit.csv,0.77,0.22,0.57,0.27,0.78,0.28,0.0,0.26,0.43,0.35
go.csv,0.78,0.25,0.85,0.31,0.78,0.13,1.0,0.58,0.45,0.53
kwave.csv,0.77,0.23,0.64,0.4,0.8,0.21,0.4,0.36,0.52,0.42
libarchive.csv,0.83,0.26,0.71,0.24,0.86,0.16,0.27,0.55,0.45,0.69
liferea.csv,0.84,0.45,0.92,0.21,0.82,0.14,0.29,0.8,0.33,0.53
linux-ntfs.csv,0.77,0.35,0.63,0.18,0.85,0.22,0.19,0.48,0.58,0.55
mpgravity.csv,0.75,0.23,0.75,0.2,0.83,0.18,0.57,0.43,0.48,0.46
