,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.48,0.61,0.35,0.67,0.55,0.75,1.0,0.86,0.66,0.58
clamav.csv,0.57,0.39,0.55,0.73,0.63,0.87,0.61,0.41,0.79,0.55
dvd-create.csv,0.62,0.68,0.64,0.64,0.27,0.7,1.0,0.64,0.82,0.55
gbif-indexingtoolkit.csv,0.64,0.88,0.8,0.66,0.76,0.6,1.0,0.95,0.76,0.93
go.csv,0.65,0.86,0.34,0.56,0.76,0.9,0.92,0.66,0.86,0.55
kwave.csv,0.68,1.0,1.0,0.54,1.0,0.77,0.68,1.0,0.68,1.0
libarchive.csv,0.47,0.78,0.67,0.69,0.59,0.94,0.8,0.42,0.84,0.42
liferea.csv,0.59,0.36,0.71,0.8,0.68,0.82,0.65,0.8,0.91,0.6
linux-ntfs.csv,0.61,0.55,0.74,0.84,0.6,0.62,0.84,0.51,0.54,0.52
mpgravity.csv,0.77,0.91,0.5,0.77,0.71,0.9,0.36,0.67,0.9,0.81
