,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.77,0.89,0.96,0.86,0.8,0.89,0.92,0.67,0.81,0.79,0.95,0.47,0.89,0.8,0.69,0.47,0.95,0.78,0.71,0.9
blogentis.csv,0.53,0.44,0.58,0.39,0.49,0.85,0.73,0.53,0.6,0.8,0.5,0.65,0.51,0.47,0.6,0.59,0.68,0.75,0.77,0.51
carabiner.csv,0.65,0.33,0.52,0.32,0.82,0.52,0.52,0.43,0.42,0.77,0.41,0.72,0.54,0.5,0.34,0.36,0.48,0.67,0.72,0.42
continuum-ide.csv,0.8,0.38,0.53,0.8,0.86,0.93,0.89,0.5,0.72,0.75,0.51,0.83,0.64,0.86,0.59,0.69,0.7,0.83,0.75,0.82
emulemorph.csv,0.0,0.0,0.0,0.94,0.0,0.97,0.94,0.8,0.5,0.91,0.96,0.96,0.83,0.0,0.0,0.0,0.94,0.0,0.0,0.8
free-evolution.csv,0.93,0.45,0.97,0.84,0.87,0.96,0.94,0.8,0.48,0.67,0.92,0.89,0.94,0.83,0.87,0.61,0.95,0.86,0.84,0.88
gtad.csv,0.5,0.83,0.96,0.0,0.0,0.67,0.0,0.67,0.75,0.0,0.95,0.86,0.75,0.0,0.75,0.0,0.8,0.67,0.89,0.5
htmlunit.csv,0.75,0.45,0.94,0.38,0.67,0.96,0.89,0.56,0.92,0.75,0.6,0.91,0.94,0.47,0.62,0.57,0.92,0.75,0.8,0.8
jaxen.csv,0.0,0.83,0.0,0.91,0.0,0.0,0.5,0.0,0.0,0.0,0.88,0.8,0.0,0.62,0.83,0.75,0.5,0.0,0.0,0.8
jsr308-langtools.csv,0.38,0.29,0.74,0.29,0.42,0.47,0.4,0.41,0.49,0.43,0.37,0.37,0.4,0.37,0.3,0.35,0.39,0.75,0.49,0.35
jvcl.csv,0.0,0.0,0.0,0.92,0.0,0.89,0.89,0.75,0.0,0.94,0.97,0.79,0.0,0.89,0.0,0.91,0.97,0.92,0.0,0.5
kaffeine.csv,0.35,0.32,0.51,0.3,0.39,0.45,0.37,0.54,0.37,0.37,0.35,0.37,0.4,0.34,0.32,0.34,0.33,0.41,0.45,0.27
m-m-m.csv,0.37,0.64,0.84,0.36,0.59,0.47,0.38,0.63,0.4,0.4,0.39,0.42,0.68,0.43,0.36,0.37,0.4,0.41,0.68,0.35
motu.csv,0.86,0.75,0.96,0.93,0.0,0.93,0.93,0.86,0.92,0.0,0.98,0.71,0.75,0.7,0.86,0.75,0.88,0.85,0.0,0.92
nh3d.csv,0.0,0.0,0.75,0.67,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0
sarasvati.csv,0.9,0.57,0.75,0.57,0.84,0.9,0.67,0.75,0.89,0.86,0.85,0.84,0.91,0.76,0.88,0.77,0.71,0.0,0.71,0.0
taokgame.csv,0.0,0.0,0.0,0.94,0.0,0.92,0.94,0.67,0.9,0.4,0.92,0.79,0.5,0.83,0.0,0.42,0.95,0.7,0.67,0.75
wgs-assembler.csv,0.9,0.64,0.96,0.38,0.64,0.66,0.86,0.83,0.81,0.43,0.8,0.91,0.82,0.8,0.32,0.47,0.54,0.77,0.71,0.83
