,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.0,0.78,0.07,0.0,1.0,0.11,0.25,1.0,0.1,0.07,0.48,0.02,0.11,0.8,0.38,0.22,1.0,0.3,0.42,0.0
blogentis.csv,0.02,0.35,0.01,0.14,0.8,0.07,0.95,0.8,0.03,0.07,0.5,0.15,0.08,0.93,0.36,0.17,0.18,0.5,0.18,0.03
carabiner.csv,0.04,0.36,0.01,0.1,0.71,0.09,0.35,0.71,0.09,0.0,0.39,0.08,0.05,0.62,0.37,0.26,0.14,1.0,0.28,0.0
continuum-ide.csv,0.2,0.4,0.0,0.09,0.86,0.13,0.44,0.75,0.0,0.25,0.34,0.17,0.16,0.71,1.0,0.25,0.2,0.33,0.0,0.05
emulemorph.csv,0.0,0.0,0.0,0.25,0.0,0.06,0.11,1.0,0.0,0.0,0.12,0.04,1.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
free-evolution.csv,0.0,0.39,0.07,0.04,0.8,0.17,0.33,1.0,0.09,0.0,0.42,0.06,0.0,0.17,0.33,0.15,0.29,0.36,1.0,0.04
gtad.csv,1.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.0,0.0,0.62,0.14,0.25,1.0,0.25,0.0,0.6,0.33,0.22,0.0
htmlunit.csv,0.25,0.45,0.0,0.15,1.0,0.17,0.67,0.78,0.0,0.0,1.0,0.18,0.12,0.8,0.54,0.43,0.08,0.25,0.4,0.0
jaxen.csv,0.0,0.33,0.0,0.27,0.0,0.0,0.5,0.0,0.0,0.0,0.88,1.0,0.0,1.0,0.5,0.75,0.0,0.0,0.0,0.0
jsr308-langtools.csv,0.04,0.37,0.0,0.11,0.96,0.13,0.4,0.76,0.05,0.0,0.39,0.09,0.05,1.0,0.35,0.29,0.17,0.5,0.27,0.0
jvcl.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.16,1.0,0.0,0.0,0.18,0.0,0.0,0.78,0.0,0.18,0.06,0.15,0.0,0.0
kaffeine.csv,0.03,0.36,0.01,0.11,0.98,0.09,0.32,0.81,0.12,0.02,0.33,0.07,0.06,0.8,0.3,0.28,0.16,0.3,0.23,0.01
m-m-m.csv,0.03,0.36,0.01,0.1,0.79,0.09,0.24,1.0,0.1,0.02,0.3,0.06,0.04,0.69,0.29,0.28,0.17,0.3,0.23,0.01
motu.csv,0.29,0.5,0.08,0.05,0.0,0.0,0.43,0.86,0.15,0.0,0.51,0.02,0.0,0.9,0.0,1.0,0.12,0.31,1.0,0.0
nh3d.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sarasvati.csv,0.1,0.45,0.0,0.09,0.64,1.0,0.67,1.0,0.22,0.14,0.41,0.05,0.0,0.65,0.25,0.31,0.17,0.0,0.24,0.0
taokgame.csv,0.0,0.0,0.0,0.11,1.0,0.08,0.12,1.0,1.0,0.02,0.23,0.0,0.0,0.33,0.0,0.19,0.23,0.19,1.0,0.0
wgs-assembler.csv,0.0,1.0,0.03,0.1,1.0,0.11,0.23,0.83,0.1,0.02,0.39,0.18,0.04,0.67,0.35,0.24,0.14,0.27,0.29,0.0
