,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.72,0.47,0.86,0.48,0.65,0.54,0.84,0.82,0.64,0.62,0.64,0.5,0.67,0.85,0.65
amateur-scrolls.csv,0.48,0.07,0.26,0.35,0.71,0.15,0.38,0.45,0.08,0.1,0.0,0.5,0.01,0.7,0.11
arianne.csv,0.8,0.95,0.78,1.0,0.74,0.7,0.88,0.97,1.0,1.0,0.97,0.75,0.99,0.95,0.92
bl-toolkit.csv,0.36,0.35,0.18,0.65,0.32,0.69,0.33,0.55,0.72,0.49,0.89,0.75,0.94,0.9,0.44
doomlegacy.csv,0.54,0.49,0.82,0.87,0.83,0.45,0.74,0.97,0.16,0.46,0.79,0.5,0.06,0.8,0.75
enlightenment.csv,1.0,1.0,0.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,1.0,0.85,1.0,1.0
fritzing.csv,0.72,0.56,0.76,0.45,0.76,0.36,0.57,0.85,0.7,0.46,0.57,0.75,0.34,0.3,0.19
gnukeda.csv,0.78,0.49,0.84,0.97,1.0,0.76,0.86,0.66,0.3,0.72,0.44,1.0,0.54,0.85,0.96
jlinalg.csv,0.82,0.35,0.36,0.71,0.75,0.65,0.67,0.45,0.34,0.54,0.55,1.0,0.56,0.9,0.84
knowledge.csv,0.8,0.53,0.9,0.71,0.78,0.56,0.84,0.85,0.84,0.72,0.65,0.75,0.91,0.6,0.79
massiv.csv,0.14,0.02,0.3,0.06,0.35,0.09,0.0,0.0,0.06,0.08,0.0,1.0,0.0,0.6,0.0
playerstage.csv,0.54,0.45,0.74,0.55,0.89,0.34,0.71,0.77,0.38,0.54,0.67,0.5,0.36,0.65,0.29
psycle.csv,0.62,0.69,0.92,0.81,0.85,0.77,0.93,0.92,0.64,0.69,0.85,0.75,0.78,0.95,0.82
superwaba.csv,0.22,0.4,0.76,0.71,0.47,0.36,0.4,0.52,0.46,0.51,0.24,0.75,0.68,1.0,0.75
wxcrp.csv,0.96,0.89,0.82,0.58,0.93,0.82,0.9,0.95,0.9,0.82,0.66,0.75,0.8,0.95,0.85
