,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.73,0.47,0.08,0.21,0.79,1.0,0.83,0.64,0.2,0.93,0.83
ikvm.csv,0.66,1.0,0.04,0.21,0.88,0.1,0.89,0.6,0.14,0.83,0.93
libtorrent.csv,0.71,0.4,0.06,0.32,0.8,0.2,1.0,0.69,0.2,0.85,0.88
mcmc-jags.csv,0.87,0.42,0.05,1.0,0.8,0.19,0.87,0.69,0.32,0.87,0.74
moast.csv,0.68,0.39,0.06,0.25,0.8,0.59,0.84,0.58,0.15,0.85,1.0
olap-navigator.csv,1.0,0.46,0.06,0.55,0.85,0.37,0.95,0.78,0.21,0.88,0.92
pidgin.csv,0.74,0.44,0.06,0.35,0.98,0.19,0.91,0.68,0.17,0.88,0.89
salasaga.csv,0.64,0.49,0.04,0.27,0.65,0.18,0.83,0.5,1.0,0.84,0.42
sepgsql.csv,0.75,0.0,1.0,1.0,0.83,0.0,0.0,1.0,0.0,1.0,0.0
sigil.csv,1.0,0.25,0.07,0.25,0.78,0.14,0.96,0.98,0.18,0.93,0.97
xtreemfs.csv,0.74,0.48,0.13,1.0,0.0,0.8,0.83,1.0,0.0,0.99,0.92
