,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.24,0.0,0.11,0.6,0.49,0.62,0.53,0.12,0.06,1.0,0.62
gdis.csv,0.54,0.54,0.45,0.64,0.33,0.57,0.61,0.59,1.0,0.66,0.47
genoviz.csv,0.05,0.11,0.0,0.0,0.11,0.04,0.0,0.0,0.02,0.0,1.0
kml.csv,0.58,0.58,0.36,0.52,0.61,0.58,0.98,0.28,0.68,0.7,0.73
omseek.csv,0.28,0.0,0.22,0.11,0.39,0.9,0.28,0.33,0.51,0.52,0.76
ossbuild.csv,0.4,0.6,0.97,0.65,0.52,0.37,0.35,0.36,0.29,0.38,0.44
popeye-chess.csv,0.42,1.0,0.38,0.54,0.64,0.66,0.53,0.62,0.71,0.59,0.71
quarkplayer.csv,0.2,0.04,0.0,1.0,0.1,0.0,0.22,0.09,0.22,0.0,0.45
turbotrader-bos.csv,0.44,0.42,0.64,0.11,0.99,0.28,0.55,0.27,0.53,0.37,0.23
virtuoso.csv,0.57,0.07,0.09,0.31,0.37,0.51,0.04,0.84,0.15,0.45,0.68
zscreen.csv,0.98,0.76,0.25,0.69,0.72,0.64,0.36,0.61,0.75,0.37,0.68
