,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.82,1.0,0.92,0.71,0.66,0.58,0.53,0.91,0.95,0.0,0.49
gdis.csv,0.78,0.8,0.86,0.69,0.91,0.78,0.75,0.76,0.0,0.62,0.85
genoviz.csv,0.96,0.91,1.0,1.0,0.91,0.97,1.0,1.0,0.98,1.0,0.0
kml.csv,0.49,0.48,0.85,0.74,0.55,0.59,0.03,0.83,0.54,0.53,0.51
omseek.csv,0.76,1.0,0.94,0.91,0.72,0.12,0.87,0.73,0.57,0.62,0.41
ossbuild.csv,0.66,0.51,0.03,0.47,0.54,0.72,0.78,0.71,0.76,0.68,0.63
popeye-chess.csv,0.65,0.0,0.88,0.67,0.48,0.51,0.56,0.63,0.42,0.57,0.55
quarkplayer.csv,0.89,0.97,1.0,0.0,0.92,1.01,0.92,0.95,0.84,1.0,0.62
turbotrader-bos.csv,0.71,0.63,0.55,0.93,0.01,0.81,0.58,0.87,0.66,0.75,0.88
virtuoso.csv,0.63,0.94,0.98,0.79,0.94,0.59,0.97,0.19,0.88,0.85,0.61
zscreen.csv,0.04,0.55,0.86,0.5,0.4,0.64,0.7,0.72,0.44,0.72,0.61
