,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,1.0,0.17,0.25,0.24,1.0,0.1,0.36,0.5,0.39,0.24
autoopencas.csv,0.5,0.29,0.18,0.28,0.59,0.18,0.98,0.25,0.5,0.27
gogoego.csv,0.75,0.75,1.0,0.18,0.0,0.25,0.06,0.48,0.59,0.22
jam-daq.csv,0.76,0.6,0.35,0.31,0.39,0.26,0.13,0.48,1.0,0.3
jhotdraw.csv,0.53,0.43,0.25,0.18,0.28,1.0,0.33,0.3,0.4,0.05
pokeglobal.csv,1.0,0.52,0.31,0.19,0.62,0.22,0.28,0.47,0.53,0.17
robocode.csv,0.82,1.0,0.35,0.31,0.25,0.2,0.19,0.34,0.67,0.34
springside.csv,0.75,0.52,0.3,0.28,0.31,0.23,0.25,0.94,0.55,0.28
trinitycore.csv,0.45,0.41,0.33,0.95,0.55,0.21,0.08,0.47,0.58,1.0
uwom-server.csv,0.5,0.41,0.28,0.98,0.31,0.28,0.11,0.25,0.56,0.92
