,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.0,0.18,0.11,0.4,0.0,0.23,0.62,0.1,0.2,0.38
autoopencas.csv,0.21,0.54,0.4,0.2,0.26,0.37,0.01,0.16,0.15,0.24
gogoego.csv,0.14,0.07,0.0,0.19,0.17,0.14,0.26,0.11,0.13,0.17
jam-daq.csv,0.14,0.21,0.31,0.22,0.31,0.41,0.63,0.11,0.0,0.22
jhotdraw.csv,0.55,0.57,0.3,0.44,0.37,0.0,0.05,0.15,0.28,0.12
pokeglobal.csv,0.0,0.46,0.47,0.51,0.37,0.65,0.85,0.3,0.59,0.5
robocode.csv,0.1,0.0,0.26,0.34,0.17,0.27,0.37,0.26,0.15,0.31
springside.csv,0.17,0.39,0.52,0.54,0.51,0.51,0.8,0.03,0.46,0.53
trinitycore.csv,0.59,0.61,0.25,0.01,0.29,0.21,0.1,0.09,0.28,0.0
uwom-server.csv,0.69,0.46,0.3,0.01,0.31,0.18,0.07,0.19,0.44,0.02
