,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.39,0.07,0.15,0.29,0.98,0.1,0.53,0.29,0.22,0.29
autoopencas.csv,0.23,0.27,0.22,0.25,0.47,0.25,0.97,0.14,0.26,0.27
gogoego.csv,0.42,0.39,0.97,0.15,0.0,0.23,0.05,0.29,0.32,0.17
jam-daq.csv,0.45,0.47,0.41,0.31,0.27,0.37,0.18,0.29,1.0,0.29
jhotdraw.csv,0.48,0.47,0.28,0.22,0.2,0.97,0.11,0.17,0.29,0.03
pokeglobal.csv,1.0,0.56,0.42,0.25,0.63,0.34,0.43,0.5,0.64,0.22
robocode.csv,0.48,0.95,0.39,0.37,0.1,0.24,0.22,0.3,0.46,0.4
springside.csv,0.49,0.52,0.41,0.38,0.27,0.35,0.38,0.96,0.61,0.39
trinitycore.csv,0.39,0.46,0.36,0.79,0.44,0.22,0.04,0.24,0.52,0.97
uwom-server.csv,0.49,0.4,0.32,0.92,0.2,0.29,0.04,0.16,0.62,0.85
