,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.76,0.97,0.9,0.74,0.03,0.92,0.62,0.8,0.87,0.74
autoopencas.csv,0.88,0.91,0.83,0.79,0.66,0.73,0.05,0.91,0.84,0.76
gogoego.csv,0.72,0.74,0.06,0.9,1.01,0.8,0.99,0.8,0.79,0.87
jam-daq.csv,0.7,0.65,0.58,0.73,0.85,0.54,0.96,0.8,0.0,0.74
jhotdraw.csv,0.79,0.75,0.75,0.84,0.93,0.06,0.93,0.89,0.83,0.99
pokeglobal.csv,0.0,0.61,0.59,0.82,0.52,0.68,0.85,0.56,0.63,0.85
robocode.csv,0.67,0.09,0.62,0.64,0.95,0.75,0.84,0.78,0.66,0.6
springside.csv,0.66,0.62,0.61,0.65,0.92,0.59,0.84,0.04,0.56,0.64
trinitycore.csv,0.88,0.77,0.66,0.32,0.7,0.79,0.98,0.84,0.6,0.05
uwom-server.csv,0.86,0.77,0.71,0.13,0.9,0.72,0.98,0.9,0.54,0.2
