,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.28,0.05,0.13,0.41,0.98,0.13,0.74,0.24,0.19,0.39
autoopencas.csv,0.18,0.28,0.31,0.27,0.43,0.4,0.96,0.12,0.21,0.31
gogoego.csv,0.33,0.3,0.95,0.14,0.0,0.25,0.06,0.24,0.26,0.18
jam-daq.csv,0.37,0.43,0.54,0.34,0.24,0.64,0.29,0.24,1.0,0.33
jhotdraw.csv,0.44,0.5,0.35,0.32,0.18,0.95,0.09,0.14,0.26,0.02
pokeglobal.csv,1.0,0.59,0.61,0.38,0.64,0.64,0.45,0.56,0.67,0.34
robocode.csv,0.39,0.93,0.47,0.49,0.07,0.35,0.28,0.31,0.41,0.52
springside.csv,0.42,0.54,0.62,0.58,0.27,0.64,0.48,0.98,0.65,0.6
trinitycore.csv,0.35,0.49,0.43,0.73,0.4,0.28,0.02,0.19,0.51,0.96
uwom-server.csv,0.44,0.41,0.4,0.9,0.18,0.35,0.02,0.14,0.66,0.83
