,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.24,0.04,0.11,0.38,0.97,0.11,0.98,0.2,0.16,0.36
autoopencas.csv,0.15,0.26,0.28,0.23,0.39,0.37,0.95,0.1,0.18,0.27
gogoego.csv,0.29,0.26,0.94,0.12,0.0,0.21,0.05,0.2,0.22,0.15
jam-daq.csv,0.32,0.39,0.51,0.3,0.21,0.65,0.27,0.2,1.0,0.29
jhotdraw.csv,0.44,0.52,0.31,0.29,0.15,0.94,0.07,0.12,0.22,0.02
pokeglobal.csv,1.0,0.61,0.64,0.36,0.64,0.81,0.91,0.53,0.8,0.31
robocode.csv,0.34,0.91,0.43,0.46,0.06,0.31,0.25,0.27,0.36,0.49
springside.csv,0.37,0.52,0.67,0.62,0.24,0.69,0.75,0.98,0.69,0.64
trinitycore.csv,0.34,0.52,0.39,0.68,0.36,0.24,0.02,0.16,0.47,0.95
uwom-server.csv,0.49,0.39,0.36,0.88,0.15,0.31,0.02,0.12,0.69,0.8
