,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.9,0.83,0.97,0.92,0.72,0.99,0.48,0.95,0.94,0.93
autoopencas.csv,0.92,0.95,0.85,0.98,0.95,0.87,0.88,0.95,0.94,0.96
gogoego.csv,0.69,0.88,0.81,0.97,0.83,0.96,0.97,0.76,0.76,0.97
jam-daq.csv,0.71,0.53,0.58,0.7,0.72,0.53,0.55,0.95,0.51,0.7
jhotdraw.csv,0.65,0.57,0.75,0.78,0.78,0.98,0.89,0.95,0.96,0.95
pokeglobal.csv,0.49,0.33,0.43,0.56,0.65,0.4,0.41,0.65,0.37,0.56
robocode.csv,0.65,0.52,0.58,0.54,0.75,0.64,0.53,0.84,0.75,0.55
springside.csv,0.55,0.39,0.43,0.45,0.54,0.4,0.37,0.57,0.45,0.45
trinitycore.csv,0.71,0.69,0.74,0.93,0.82,0.96,0.92,0.94,0.67,0.83
uwom-server.csv,0.62,0.73,0.63,0.84,0.62,0.97,0.89,0.96,0.56,0.83
