,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.65,0.4,0.5,0.68,0.83,0.63,0.93,0.91,0.5,1.0,0.77,0.67,0.78,0.6,0.48,0.52,1.0,0.49,0.85,0.58
array4j.csv,0.7,0.06,0.56,0.11,0.25,0.68,0.87,0.78,0.25,0.33,0.38,0.52,0.33,0.4,0.01,0.13,0.67,0.32,0.79,0.63
bzbyte.csv,0.8,1.0,1.0,1.0,1.0,0.13,1.0,1.0,0.0,1.0,1.0,0.67,0.72,0.6,1.0,0.03,1.0,0.79,0.0,0.21
capcode.csv,0.5,0.26,0.75,0.74,1.0,0.52,0.67,0.61,0.58,1.0,0.31,0.62,0.39,0.4,0.66,0.32,0.5,0.72,0.45,0.47
fm-classic.csv,0.24,0.32,0.12,0.16,0.25,0.17,0.0,0.0,0.08,1.0,0.15,0.19,0.44,0.2,0.1,0.19,0.0,0.28,0.27,0.05
freenet.csv,0.91,0.66,0.38,0.95,0.92,0.73,0.93,0.61,0.67,1.0,0.92,0.71,0.83,0.2,0.66,0.23,0.83,0.53,0.88,0.68
hannosset.csv,0.52,0.38,0.44,0.16,0.08,0.19,0.17,0.0,0.25,0.0,0.23,0.33,0.06,0.0,0.14,0.23,0.83,0.21,0.52,0.42
haphazard.csv,0.63,0.32,0.0,0.11,0.42,0.6,0.5,0.22,0.25,0.0,0.62,0.24,0.17,0.2,0.13,0.29,0.17,0.4,0.42,0.74
intact.csv,0.57,0.32,0.38,0.26,0.67,0.7,0.53,0.3,0.33,0.33,0.54,0.67,0.33,0.4,0.3,0.1,0.5,0.35,0.82,0.26
ipfire-wall.csv,0.48,0.66,0.0,0.42,0.42,0.28,0.17,0.13,0.42,1.0,0.62,0.29,0.78,0.4,0.33,0.58,0.0,0.32,0.12,0.53
jlinalg.csv,0.3,0.74,0.38,0.68,0.42,0.39,0.53,0.22,0.25,1.0,0.31,0.67,0.67,0.6,0.6,0.48,0.0,0.44,0.79,0.37
nassp.csv,0.65,0.32,0.25,0.11,0.0,0.34,0.17,0.17,0.75,0.33,0.15,0.24,0.39,0.2,0.28,0.32,0.17,0.35,0.15,0.42
ondex.csv,0.17,0.32,0.44,0.05,0.17,0.57,0.4,0.61,0.33,0.33,0.62,0.29,0.61,0.6,0.38,0.77,0.5,0.51,0.52,0.26
optalgtoolkit.csv,0.37,0.34,0.62,0.74,0.67,0.72,0.67,0.7,0.83,1.0,0.46,0.57,0.67,1.0,0.47,0.97,0.67,0.82,0.79,0.26
pustefix.csv,0.28,0.6,0.31,1.0,0.83,0.25,0.57,0.52,0.92,0.67,0.62,0.57,0.61,0.6,0.58,0.9,0.17,1.0,0.36,0.79
soar.csv,1.0,0.78,0.69,1.0,1.0,0.95,0.93,1.0,1.0,1.0,0.92,0.81,1.0,1.0,1.0,0.58,1.0,0.88,0.58,0.84
sqlpower-library.csv,0.67,0.7,0.94,0.37,0.75,0.87,0.73,0.74,1.0,1.0,0.54,0.71,1.0,1.0,0.97,0.97,1.0,0.72,1.0,0.58
super-tux.csv,0.7,0.14,0.75,0.68,0.42,0.92,0.6,1.0,0.75,0.0,0.54,0.62,0.72,0.8,0.91,0.06,0.83,0.81,0.79,0.63
tart.csv,0.15,0.36,0.25,0.32,0.42,0.77,0.67,0.57,0.67,1.0,0.54,0.62,0.89,1.0,0.36,0.71,0.17,0.75,0.61,0.16
web-cat.csv,0.39,0.66,0.81,0.47,0.42,0.92,0.7,0.7,0.83,0.67,0.92,0.81,0.94,1.0,0.75,0.97,0.83,0.72,0.94,0.74
