,sqlpower-library.csv,jlinalg.csv,array4j.csv,optalgtoolkit.csv,capcode.csv,freenet.csv,intact.csv,pustefix.csv,nassp.csv,fm-classic.csv,haphazard.csv,anaxagora.csv,ipfire-wall.csv,tart.csv,super-tux.csv,soar.csv,hannosset.csv,bzbyte.csv,ondex.csv,web-cat.csv
anaxagora.csv,0.41,0.45,0.41,0.29,0.37,0.39,0.35,0.41,0.59,0.32,0.32,0.62,0.39,0.39,0.5,0.33,0.35,0.49,0.33,0.37
array4j.csv,0.51,0.67,0.64,0.67,0.82,0.43,0.41,0.4,0.67,0.39,0.67,0.54,0.53,0.57,0.0,0.83,0.71,0.71,0.39,0.34
bzbyte.csv,0.41,0.52,0.39,0.28,0.37,0.97,0.33,0.38,0.0,0.29,0.37,0.47,0.42,0.47,0.44,0.5,0.37,0.4,0.0,0.82
capcode.csv,0.53,0.71,0.42,0.34,0.54,0.5,0.4,0.54,0.48,0.37,0.89,0.47,0.53,0.44,0.61,0.92,0.45,0.39,0.5,0.4
fm-classic.csv,0.92,0.65,0.83,0.86,0.72,0.97,0.67,0.0,0.67,0.89,0.9,0.88,0.69,0.83,0.91,0.83,0.0,0.76,0.97,0.83
freenet.csv,0.44,0.42,0.59,0.31,0.41,0.41,0.4,0.46,0.41,0.3,0.37,0.47,0.43,0.48,0.63,0.91,0.61,0.45,0.31,0.38
hannosset.csv,0.45,0.68,0.76,0.91,0.88,0.98,0.95,0.67,0.86,0.75,0.93,0.59,0.0,0.95,0.93,0.83,0.86,0.93,0.42,0.59
haphazard.csv,0.5,0.68,0.0,0.75,0.65,0.48,0.56,0.84,0.88,0.88,0.58,0.9,0.89,0.94,0.92,0.67,0.9,0.65,0.58,0.35
intact.csv,0.47,0.59,0.57,0.8,0.44,0.37,0.58,0.52,0.88,0.58,0.38,0.43,0.82,0.66,0.6,0.88,0.44,0.54,0.32,0.64
ipfire-wall.csv,0.68,0.44,0.75,0.38,0.48,0.84,0.91,0.92,0.81,0.4,0.44,0.77,0.46,0.6,0.59,0.36,0.8,0.65,0.94,0.48
jlinalg.csv,0.8,0.5,0.51,0.34,0.47,0.69,0.57,0.94,0.62,0.4,0.53,0.55,0.48,0.61,0.62,0.52,0.89,0.52,0.42,0.58
nassp.csv,0.42,0.55,0.69,0.83,0.92,0.71,0.93,0.9,0.47,0.89,0.89,0.68,0.54,0.62,0.5,0.53,0.69,0.5,0.94,0.56
ondex.csv,0.88,0.72,0.51,0.67,0.75,0.46,0.66,0.59,0.75,0.59,0.68,0.96,0.41,0.5,0.53,0.34,0.37,0.5,0.67,0.9
optalgtoolkit.csv,0.5,0.82,0.49,0.48,0.48,0.39,0.43,0.39,0.38,0.31,0.39,0.52,0.42,0.38,0.49,0.37,0.37,0.37,0.37,0.67
pustefix.csv,0.84,0.61,0.55,0.3,0.46,0.85,0.49,0.68,0.36,0.33,0.45,0.5,0.42,0.46,0.55,0.37,0.38,0.34,0.5,0.35
soar.csv,0.38,0.51,0.47,0.27,0.4,0.37,0.35,0.38,0.36,0.29,0.36,0.43,0.36,0.35,0.44,0.69,0.37,0.37,0.4,0.29
sqlpower-library.csv,0.38,0.65,0.45,0.9,0.44,0.38,0.45,0.45,0.36,0.46,0.37,0.49,0.36,0.35,0.45,0.37,0.38,0.38,0.31,0.48
super-tux.csv,0.38,0.86,0.45,0.4,0.55,0.33,0.46,0.38,0.47,0.77,0.37,0.42,0.38,0.45,0.43,0.8,0.41,0.37,0.36,0.36
tart.csv,0.88,0.75,0.6,0.75,0.56,0.41,0.5,0.53,0.43,0.54,0.71,0.66,0.35,0.72,0.61,0.34,0.53,0.38,0.53,0.8
web-cat.csv,0.67,0.67,0.44,0.55,0.5,0.38,0.49,0.49,0.39,0.41,0.4,0.52,0.37,0.35,0.45,0.35,0.34,0.41,0.34,0.59
