,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.56,0.54,0.35,0.11,0.73,0.34,0.93,0.23,0.32,0.27,0.59,0.0,0.43
emulemorph.csv,0.16,0.0,0.48,0.0,0.56,0.0,0.0,0.0,0.68,0.0,0.02,0.0,0.06
gisgraphy.csv,0.12,0.29,0.56,0.59,0.52,0.27,0.0,0.24,0.36,0.41,0.37,0.0,0.67
jaxen.csv,0.44,0.33,0.67,0.63,0.51,0.46,0.0,0.98,0.45,0.53,0.51,0.0,0.52
jvcl.csv,0.25,0.55,0.65,0.31,0.63,0.12,0.0,0.61,0.53,0.35,0.54,0.68,0.27
m-m-m.csv,0.46,0.65,0.45,0.57,0.33,0.8,0.09,0.05,0.19,0.17,0.2,0.89,0.24
motu.csv,0.53,0.65,0.13,0.32,0.0,0.49,0.0,0.05,0.6,0.69,0.13,0.09,0.17
nh3d.csv,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarasvati.csv,0.35,0.5,0.27,0.8,0.24,0.29,0.91,0.44,0.0,0.55,0.36,0.95,0.47
wgs-assembler.csv,0.53,0.54,0.14,0.65,0.48,0.02,0.66,0.65,0.53,0.68,0.11,0.0,0.31
zabbix.csv,0.54,0.0,0.52,0.59,0.41,0.41,0.0,0.43,0.52,0.48,0.47,0.0,0.45
