,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,11.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,2.0,0.0,9.0,2.0,2.0,0.0,0.0
fbmanager.csv,104.0,6.0,0.0,0.0,0.0,0.0,1.0,8.0,284.0,0.0,1.0,1.0,1.0,3.0,12.0,1.0,3.0,0.0
freenet.csv,42.0,9.0,1.0,1.0,1.0,0.0,0.0,10.0,317.0,11.0,4.0,1.0,2.0,13.0,18.0,7.0,4.0,4.0
geogebra.csv,104.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,29.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,13.0,0.0
google-caja.csv,60.0,2.0,0.0,0.0,1.0,0.0,0.0,10.0,126.0,2.0,0.0,13.0,0.0,5.0,0.0,6.0,3.0,2.0
hibernate.csv,21.0,6.0,1.0,2.0,0.0,0.0,2.0,17.0,91.0,0.0,0.0,1.0,0.0,3.0,8.0,0.0,0.0,1.0
illumination.csv,104.0,4.0,1.0,2.0,0.0,0.0,0.0,132.0,22.0,0.0,0.0,1.0,2.0,7.0,3.0,0.0,5.0,7.0
kindb.csv,31.0,0.0,6.0,1.0,0.0,0.0,0.0,9.0,23.0,0.0,0.0,6.0,0.0,7.0,3.0,5.0,2.0,4.0
officefloor.csv,104.0,4.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,9.0,1.0,81.0,13.0,9.0
paintown.csv,43.0,0.0,2.0,3.0,0.0,0.0,6.0,3.0,61.0,6.0,1.0,1.0,4.0,7.0,10.0,4.0,33.0,11.0
poormans.csv,104.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,0.0,6.0,3.0,2.0
qlc.csv,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,3.0,3.0,0.0,28.0,81.0,5.0,0.0
repositorium.csv,17.0,0.0,2.0,1.0,0.0,0.0,5.0,17.0,31.0,1.0,0.0,5.0,2.0,1.0,7.0,3.0,17.0,9.0
sevenupdate.csv,73.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0,323.0,1.0,1.0,3.0,2.0,3.0,41.0,7.0,13.0,9.0
sqlpower-library.csv,29.0,0.0,2.0,1.0,0.0,0.0,7.0,23.0,317.0,9.0,0.0,0.0,2.0,2.0,43.0,8.0,12.0,8.0
triplea.csv,37.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,61.0,5.0,0.0,2.0,4.0,17.0,17.0,9.0,4.0,7.0
yarp0.csv,104.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,273.0,4.0,1.0,0.0,1.0,1.0,12.0,8.0,7.0,23.0
