,campsoft.csv,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,sevenupdate.csv,freenet.csv,qlc.csv,officefloor.csv,botsnscouts.csv,google-caja.csv,yarp0.csv,kindb.csv,repositorium.csv,poormans.csv,illumination.csv,hibernate.csv,geogebra.csv
botsnscouts.csv,1.0,0.07,0.5,0.03,0.37,0.29,0.55,0.06,0.42,0.96,0.27,0.06,0.06,0.18,0.53,0.35,0.19,0.48
fbmanager.csv,0.0,0.57,0.34,1.0,0.57,0.51,0.68,0.72,0.76,0.44,0.63,0.5,0.71,0.55,0.62,0.53,0.48,0.62
freenet.csv,1.0,0.54,0.84,0.79,0.65,0.73,0.98,0.89,0.82,0.7,0.63,0.5,0.91,0.45,0.74,0.76,0.55,0.66
geogebra.csv,0.0,0.09,0.41,0.06,0.87,0.2,0.81,0.06,0.34,0.41,0.71,0.12,0.59,0.09,0.24,0.12,0.88,0.94
google-caja.csv,1.0,0.54,0.66,0.71,0.61,0.59,0.75,0.61,0.87,0.81,0.97,0.75,0.71,0.73,0.91,0.71,0.81,0.81
hibernate.csv,1.0,0.15,0.28,0.12,0.67,0.2,0.31,0.11,0.37,0.3,0.33,0.06,0.06,0.18,0.5,0.24,0.94,0.51
illumination.csv,0.0,0.41,0.38,0.15,0.43,0.04,0.33,0.0,0.16,0.11,0.15,0.06,0.24,0.09,0.06,0.88,0.07,0.35
kindb.csv,1.0,0.59,0.5,0.71,0.61,0.39,0.69,0.89,0.74,0.56,0.65,0.5,0.94,0.64,0.62,0.53,0.49,0.69
officefloor.csv,0.0,0.22,0.25,0.15,0.76,0.27,0.48,0.39,0.82,0.07,0.49,0.25,0.21,0.27,0.09,0.0,0.68,0.32
paintown.csv,1.0,0.96,0.56,0.5,0.63,0.61,0.62,0.67,0.66,0.37,0.56,0.62,0.71,0.55,0.76,0.53,0.6,0.76
poormans.csv,0.0,0.28,0.53,0.21,0.67,0.31,0.6,0.06,0.42,0.52,0.27,0.38,0.21,0.18,0.94,0.12,0.33,0.51
qlc.csv,1.0,0.21,0.25,0.15,0.15,0.22,0.12,0.94,0.18,0.15,0.29,0.62,0.47,0.09,0.35,0.0,0.22,0.17
repositorium.csv,1.0,0.37,0.59,0.26,0.61,0.1,0.42,0.17,0.63,0.44,0.22,0.19,0.12,0.91,0.32,0.41,0.33,0.78
sevenupdate.csv,1.0,1.0,1.0,0.97,0.43,0.98,0.49,1.0,1.0,0.33,0.77,1.0,1.0,1.0,1.0,0.94,0.9,0.89
sqlpower-library.csv,1.0,0.62,0.88,0.47,0.98,0.55,0.78,0.89,0.63,0.7,0.63,0.56,1.0,0.82,0.59,0.82,0.61,0.62
triplea.csv,1.0,0.72,1.0,0.62,0.78,0.35,0.78,0.94,0.71,0.56,0.71,0.5,0.88,0.45,0.79,0.59,0.56,0.67
yarp0.csv,0.0,0.44,0.62,0.68,0.61,0.45,0.7,0.28,0.61,0.41,0.63,1.0,0.68,0.73,0.53,0.76,0.39,0.5
