,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.62,0.71,0.54,0.76
columba.csv,0.37,0.4,0.39,0.47
decidr.csv,0.39,0.4,0.41,0.44
jajuk.csv,0.37,0.36,0.35,0.38
