,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.8,0.2,0.8,0.57
columba.csv,0.28,0.47,0.32,0.24
decidr.csv,0.85,0.86,0.23,0.44
jajuk.csv,0.2,0.59,0.88,0.98
