,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.3,0.58,0.46,0.16
columba.csv,0.7,0.15,0.73,0.53
decidr.csv,0.47,0.27,0.8,0.41
jajuk.csv,0.78,0.32,0.58,0.3
