,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,0.7,0.07,0.75,0.05,0.39,0.0,0.0,0.24,0.42,0.54,0.21,0.67,1.0,0.1,0.3,0.33,0.85,0.2
exl.csv,0.45,0.17,0.61,0.06,0.48,0.38,0.05,0.21,0.47,0.49,0.15,0.12,0.63,0.16,0.24,0.42,0.94,0.03
ildjit.csv,0.69,0.2,0.5,0.03,0.31,0.26,0.0,0.55,0.1,0.0,0.36,0.31,0.42,0.0,0.36,0.29,0.71,0.0
konversation.csv,0.8,0.33,0.8,0.07,0.67,0.43,0.03,0.08,0.32,0.35,0.58,0.12,0.71,0.25,0.14,0.5,0.84,0.05
ltp.csv,0.79,0.12,0.65,0.04,0.51,0.27,0.0,0.08,0.38,0.52,0.38,0.03,0.65,0.24,0.13,0.36,0.62,0.02
mcmc-jags.csv,0.7,0.17,0.6,0.05,0.5,0.63,0.03,0.27,0.51,0.54,0.4,0.09,0.69,0.38,0.16,0.49,0.88,0.03
micomt.csv,0.74,0.15,0.62,0.04,0.46,0.5,0.02,0.12,0.47,0.61,0.39,0.06,0.65,0.5,0.16,0.46,0.78,0.03
migen.csv,0.75,0.26,0.71,0.07,0.69,0.67,0.14,0.13,0.67,0.25,0.56,0.11,0.74,0.45,0.06,0.6,0.86,0.04
moviesandbox.csv,0.76,0.22,0.68,0.13,0.5,0.67,0.1,0.08,0.57,0.4,0.54,0.08,0.7,0.43,0.12,0.59,0.82,0.03
nebuladevice.csv,0.0,0.08,0.17,0.0,0.27,0.32,0.0,0.0,0.17,0.45,0.02,0.03,0.5,0.14,0.32,0.22,0.0,0.01
opengs.csv,0.67,0.27,0.64,0.07,0.54,0.62,0.06,0.14,0.66,0.57,0.49,0.1,0.8,0.36,0.2,0.6,0.85,0.03
openxava.csv,0.56,0.27,0.63,0.05,0.36,0.27,0.05,0.19,0.46,0.51,0.05,0.22,0.57,0.1,0.24,0.48,1.0,0.04
passwordsafe.csv,0.69,0.22,0.66,0.06,0.61,0.5,0.03,0.15,0.57,0.68,0.5,0.09,0.71,0.4,0.16,0.65,0.82,0.03
phonon-vlc-mplayer.csv,0.75,0.21,0.68,0.05,0.57,1.0,0.05,0.16,0.53,0.64,0.67,0.1,0.78,0.58,0.15,0.61,0.88,0.06
sepgsql.csv,0.77,0.29,0.67,0.11,0.61,0.4,0.14,0.19,0.48,0.8,0.66,0.13,0.86,0.23,0.43,0.67,0.88,0.05
tcl.csv,0.71,0.02,0.44,0.0,0.3,0.19,0.0,0.33,0.41,0.67,0.12,0.06,0.33,0.0,0.18,0.27,0.68,0.01
unflobtactical.csv,0.8,0.19,0.66,0.27,0.48,0.56,0.04,0.19,0.43,0.71,0.62,0.05,0.79,0.5,0.12,0.58,0.82,0.03
