,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.15,0.21,0.48,0.43,0.48,0.22,0.0,0.41,0.34,0.32,0.36
gamestone.csv,0.09,0.0,0.14,0.18,0.16,0.0,0.15,0.08,0.08,0.15,0.11
gbif-providertoolkit.csv,0.0,0.0,0.0,0.01,0.0,0.04,0.01,0.05,0.12,0.01,0.06
heekscad.csv,0.02,0.35,0.42,0.79,0.45,0.0,0.22,0.28,0.48,0.48,0.08
igarden.csv,0.09,0.08,0.08,0.0,0.13,0.09,0.05,0.11,0.2,0.15,0.11
levent.csv,0.74,0.46,0.45,0.54,0.42,0.04,0.73,0.34,0.28,0.5,0.47
lportal.csv,0.06,0.46,0.06,0.4,0.01,0.48,0.68,0.02,0.0,0.51,0.56
natpad.csv,0.49,0.42,0.34,0.22,0.3,0.26,0.47,0.45,0.47,0.44,0.0
openmsx.csv,0.53,0.42,0.17,0.61,0.52,0.13,0.51,0.86,0.88,0.0,0.19
owlapi.csv,0.0,0.0,0.0,0.01,0.09,0.0,0.03,0.0,0.07,0.03,0.02
xcsoar.csv,0.23,0.42,0.01,0.35,0.4,0.26,0.5,0.21,0.33,0.35,0.45
