,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.5,0.76,0.59,0.47,0.61,0.28,0.96,0.72,0.46,0.39,0.61
gamestone.csv,0.12,0.9,0.33,0.27,0.17,0.1,0.25,0.15,0.04,0.17,0.09
gbif-providertoolkit.csv,0.15,0.0,0.13,0.04,0.82,0.12,0.06,0.33,0.3,0.06,0.42
heekscad.csv,1.0,0.73,0.68,0.54,0.67,0.0,0.38,0.44,0.63,0.52,0.09
igarden.csv,0.34,0.0,0.24,0.92,0.25,0.1,0.04,0.19,0.35,0.21,0.54
levent.csv,0.58,0.51,0.69,0.68,0.68,0.99,0.54,0.51,0.51,0.55,0.73
lportal.csv,0.06,0.6,0.19,0.26,0.0,0.37,0.45,0.1,0.91,0.47,0.3
natpad.csv,0.64,0.14,0.56,0.52,0.53,0.68,0.55,0.59,0.7,0.45,0.98
openmsx.csv,0.54,0.14,0.33,0.59,0.6,0.26,0.43,0.42,0.36,0.98,0.37
owlapi.csv,0.12,0.0,0.05,0.04,0.41,0.05,0.0,1.0,0.37,0.06,0.19
xcsoar.csv,0.66,0.51,0.98,0.51,0.63,0.54,0.54,0.59,0.66,0.38,0.68
