,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.41,0.33,0.65,0.2,0.7,0.18,0.55,0.0,0.27,0.2,0.56,0.47
freedom-erp.csv,0.12,0.27,0.1,0.07,0.0,0.02,0.03,0.31,0.22,0.03,0.33,0.0
haggle.csv,0.24,0.27,0.1,0.37,0.17,0.05,0.19,0.06,0.06,0.21,0.41,0.0
javaprofiler.csv,0.83,0.86,0.65,0.98,0.77,0.97,1.0,1.0,0.61,0.97,1.0,0.22
jchassis.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.0
jmoney.csv,0.15,0.41,0.15,0.17,0.8,0.27,0.03,0.19,0.33,0.15,0.22,0.11
jsidplay2.csv,0.46,0.43,0.25,0.39,0.63,0.23,0.23,0.8,0.41,0.38,0.0,0.47
madman.csv,0.15,0.22,0.45,0.15,0.23,0.23,0.11,0.03,0.22,0.18,0.33,0.08
matrex.csv,0.27,0.29,0.25,0.05,0.3,0.33,0.19,0.36,0.41,0.06,0.04,0.31
mediate.csv,0.17,0.2,0.15,0.17,0.37,0.17,0.73,0.27,0.08,0.77,0.26,0.39
primefaces.csv,0.63,0.92,0.2,0.95,0.9,0.98,0.44,0.09,0.96,0.64,0.19,0.42
tmva.csv,0.66,0.57,0.9,0.71,1.0,0.25,1.0,1.0,0.51,0.73,0.78,0.89
