,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.0,2.0,0.0,14.0,2.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,82.0,0.0,3.0
badtrinity-zero.csv,0.0,0.0,0.0,4.0,7.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,1.0
biodwh.csv,0.0,1.0,0.0,6.0,3.0,9.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
critterding.csv,0.0,0.0,0.0,14.0,16.0,38.0,4.0,4.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0
elateportal.csv,0.0,2.0,0.0,10.0,0.0,9.0,8.0,3.0,0.0,0.0,0.0,2.0,17.0,6.0,1.0
enzo.csv,0.0,0.0,0.0,7.0,2.0,6.0,23.0,4.0,0.0,0.0,3.0,2.0,12.0,2.0,3.0
factor.csv,875.0,74.0,160.0,132.0,145.0,152.0,168.0,95.0,78.0,126.0,49.0,70.0,82.0,0.0,337.0
gusanos.csv,0.0,4.0,0.0,5.0,15.0,18.0,16.0,0.0,4.0,1.0,1.0,2.0,20.0,2.0,0.0
miranda.csv,0.0,0.0,0.0,3.0,8.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,63.0,0.0
modplug.csv,7.0,0.0,3.0,1.0,2.0,9.0,9.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
monetdb.csv,0.0,3.0,0.0,3.0,0.0,17.0,3.0,2.0,3.0,3.0,0.0,1.0,9.0,0.0,0.0
quarkplayer.csv,0.0,1.0,0.0,8.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,3.0,82.0,0.0,0.0
reactos-mirror.csv,0.0,2.0,0.0,4.0,5.0,6.0,11.0,5.0,0.0,0.0,3.0,4.0,15.0,0.0,2.0
sandiaportals.csv,0.0,1.0,7.0,10.0,0.0,6.0,4.0,6.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0
xbplayer.csv,0.0,1.0,0.0,0.0,2.0,2.0,12.0,0.0,1.0,0.0,1.0,2.0,7.0,2.0,1.0
