,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,modplug.csv,enzo.csv,elateportal.csv,sandiaportals.csv,biodwh.csv,factor.csv,miranda.csv
alpine.csv,0.25,0.51,0.24,0.5,0.27,0.93,0.21,0.39,0.28,0.01,0.41,0.05,0.0,0.26,0.34
badtrinity-zero.csv,0.31,0.36,0.96,0.2,0.66,0.66,0.61,0.23,0.64,0.19,0.74,0.3,0.57,0.37,0.64
biodwh.csv,0.1,0.21,0.54,0.17,0.36,0.48,0.57,0.04,0.58,0.39,0.02,0.13,1.0,0.81,0.05
critterding.csv,0.48,0.98,0.39,0.59,0.35,0.28,0.4,0.56,0.48,0.44,0.63,0.55,0.72,0.6,0.5
elateportal.csv,0.42,0.27,0.55,0.48,0.54,0.59,0.62,0.53,0.54,0.45,1.0,0.37,0.34,0.02,0.46
enzo.csv,0.48,0.55,0.35,0.62,0.38,0.6,0.49,0.56,0.17,0.97,0.0,0.62,0.42,0.46,0.4
factor.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
gusanos.csv,0.53,0.57,0.56,0.71,0.38,0.65,0.55,0.98,0.47,0.55,0.38,0.55,0.49,0.46,0.66
miranda.csv,0.52,0.28,0.39,0.65,0.58,0.37,0.58,0.25,0.64,0.29,0.06,0.4,0.29,0.0,0.99
modplug.csv,0.59,0.62,0.61,0.72,0.64,0.61,0.61,0.68,0.98,0.59,0.5,0.77,0.66,0.59,0.65
monetdb.csv,0.52,0.57,0.4,0.51,0.93,0.52,0.47,0.51,0.5,0.27,0.78,0.36,0.57,0.41,0.55
quarkplayer.csv,0.23,0.28,0.06,0.2,0.2,0.1,1.0,0.12,0.27,0.27,0.73,0.1,0.0,0.12,0.05
reactos-mirror.csv,0.98,0.69,0.59,0.58,0.64,0.59,0.43,0.55,0.63,0.56,0.0,0.0,0.45,0.0,0.51
sandiaportals.csv,0.59,0.62,0.52,0.55,0.53,0.66,0.69,0.48,0.51,0.57,0.46,0.97,0.55,0.64,0.59
xbplayer.csv,0.38,0.3,0.29,0.98,0.33,0.29,0.31,0.39,0.43,0.07,0.11,0.18,0.46,0.26,0.46
