,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.82,0.27,0.09,0.37,0.69,0.79,0.6,0.69,0.49,0.82,0.63
aztec.csv,0.32,0.38,0.2,0.38,0.61,0.55,0.43,0.19,0.27,0.85,0.57
bl-toolkit.csv,0.82,0.13,0.11,0.53,0.64,0.48,0.6,0.41,0.3,0.56,0.62
clamav.csv,0.33,0.08,0.08,0.67,0.6,0.68,0.24,0.61,0.41,0.38,0.56
fm-classic.csv,0.11,0.0,0.5,0.0,0.1,0.38,0.31,0.0,0.07,0.15,0.14
kml.csv,0.79,0.15,0.12,0.52,0.74,0.76,0.57,0.63,0.57,0.9,0.62
lufa-lib.csv,0.77,0.29,0.06,0.53,0.58,0.57,0.65,0.55,0.34,0.87,0.39
mplayer-ce.csv,0.74,0.12,0.08,0.31,0.7,0.69,0.45,0.63,0.51,0.89,0.57
qmmp.csv,0.66,0.15,0.19,0.56,0.65,0.6,0.63,0.71,0.49,0.87,0.6
xapian.csv,0.72,0.07,0.08,0.27,0.52,0.74,0.56,0.5,0.54,0.36,0.55
xtreemfs.csv,0.72,0.23,0.14,0.53,0.71,0.63,0.6,0.4,0.38,0.9,0.62
