,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.33,0.39,0.83,0.09,0.51,0.6,0.35,0.04,0.73,0.54,0.15,0.61,0.95,0.71,0.51
glelite.csv,0.27,0.57,0.74,0.11,0.5,0.75,0.59,0.03,0.72,0.66,0.12,0.84,0.98,0.76,0.52
hannosset.csv,0.11,0.0,0.33,0.43,0.23,0.15,0.0,0.0,0.31,0.02,0.38,0.0,0.46,0.3,0.0
ipfilter.csv,0.26,0.43,0.5,0.09,0.49,0.68,0.54,0.04,0.62,0.61,0.15,0.97,0.9,0.71,0.48
moving-pictures.csv,0.2,0.55,0.0,0.4,0.49,0.77,0.63,0.0,0.56,0.47,0.22,0.72,0.42,0.69,0.72
pclasses.csv,0.62,0.39,0.0,0.22,0.46,0.21,0.37,0.0,0.67,0.38,0.06,0.08,0.13,0.31,0.52
pfaedit.csv,0.0,0.57,0.0,0.22,0.57,0.83,0.39,0.0,0.39,0.24,0.14,0.08,0.42,0.3,0.41
qcad2.csv,0.09,0.47,0.31,0.12,0.63,0.7,0.29,0.0,0.61,0.58,0.21,0.26,0.74,0.59,0.47
rockbox.csv,0.22,0.44,0.0,0.32,0.07,0.63,0.63,0.0,0.19,0.21,0.14,0.19,0.12,0.28,0.72
roller.csv,0.24,0.55,0.74,0.11,0.53,0.64,0.65,0.03,0.78,0.48,0.16,0.83,0.93,0.64,0.52
theresa.csv,0.13,0.56,0.44,0.33,0.37,0.75,0.49,0.0,0.55,0.14,0.05,0.59,0.4,0.61,0.44
tzod.csv,0.17,0.57,0.72,0.18,0.48,0.73,0.11,0.0,0.64,0.31,0.06,0.53,0.53,0.65,0.31
xinity.csv,0.27,0.39,0.73,0.0,0.33,0.61,0.56,0.06,0.46,0.5,0.18,0.56,0.82,0.83,0.5
zabbix.csv,0.29,0.55,0.72,0.26,0.5,0.51,0.37,0.0,0.63,0.53,0.09,0.46,0.68,0.66,0.54
