,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.82,0.41,0.83,0.67,0.98,0.61,0.32,1.0,0.75,0.8,0.5,0.5,0.93,0.83,0.79
glelite.csv,0.82,0.81,0.98,1.0,1.0,0.96,0.86,1.0,0.92,0.98,0.67,1.0,0.96,0.98,0.84
hannosset.csv,0.09,0.0,0.22,1.0,0.15,0.09,0.0,0.0,0.23,0.02,0.83,0.0,0.31,0.2,0.0
ipfilter.csv,0.82,0.52,0.54,0.67,0.94,0.8,0.61,1.0,0.65,0.68,0.5,0.96,0.83,0.8,0.63
moving-pictures.csv,0.18,0.67,0.0,1.0,0.38,0.85,0.61,0.0,0.49,0.4,0.83,0.63,0.27,0.73,0.74
pclasses.csv,0.82,0.41,0.0,0.67,0.65,0.13,0.32,0.0,0.63,0.52,0.17,0.04,0.07,0.22,0.74
pfaedit.csv,0.0,0.63,0.0,0.67,0.65,0.8,0.25,0.0,0.29,0.14,0.83,0.04,0.27,0.2,0.32
qcad2.csv,0.09,0.37,0.2,0.33,0.83,0.67,0.21,0.0,0.57,0.45,0.67,0.15,0.59,0.59,0.37
rockbox.csv,0.18,0.7,0.0,1.0,0.04,0.59,0.71,0.0,0.12,0.25,0.67,0.13,0.07,0.17,0.95
roller.csv,0.73,1.0,1.0,1.0,0.98,0.7,1.0,1.0,0.76,0.68,1.0,1.0,0.89,0.71,0.79
theresa.csv,0.18,0.63,0.29,1.0,0.29,0.76,0.39,0.0,0.48,0.08,0.17,0.5,0.25,0.61,0.32
tzod.csv,0.27,0.63,0.68,0.33,0.56,0.81,0.07,0.0,0.64,0.2,0.17,0.46,0.36,0.73,0.21
xinity.csv,0.73,0.56,0.98,0.0,0.48,0.65,0.79,1.0,0.37,0.71,0.5,0.48,0.71,0.88,0.84
zabbix.csv,0.45,0.67,0.71,1.0,0.65,0.43,0.29,0.0,0.64,0.43,0.33,0.39,0.52,0.73,0.53
