,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.97,1.0,0.41,0.89,1.0,0.74,0.77,0.92,0.98,1.02,0.96
cubefs.csv,0.79,1.0,1.0,0.67,1.1,0.67,0.73,0.53,1.03,0.5,1.0
iaml.csv,0.85,1.0,0.69,0.87,0.41,0.7,0.42,0.9,1.07,0.82,0.96
ivataopenportal.csv,0.74,1.0,0.8,0.9,0.86,0.4,0.91,1.0,1.22,0.87,1.0
mb-unit.csv,0.93,0.8,0.77,0.52,0.98,0.92,0.77,0.59,0.69,0.74,0.57
mvdsv.csv,0.96,0.76,1.0,0.94,0.03,0.99,0.94,0.92,1.0,0.82,0.92
nova.csv,0.83,0.31,0.8,0.77,1.14,0.9,0.59,0.9,0.66,0.59,0.69
olex2.csv,0.68,0.63,0.57,0.55,0.45,0.94,0.61,0.65,1.02,0.57,0.4
openwbem.csv,0.49,0.77,0.61,0.65,0.51,0.84,0.75,0.74,0.46,0.54,0.59
xcmetadataservicestoolkit.csv,0.82,0.79,0.97,0.65,1.08,0.81,0.66,0.79,0.64,0.35,0.87
