,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.51,0.37,0.45,0.82,0.16,0.59,0.57,0.14,0.03,0.74,0.64
cubefs.csv,0.29,0.37,0.3,0.76,0.06,0.61,0.62,0.72,0.0,0.69,0.63
iaml.csv,0.22,0.0,0.26,0.25,0.32,0.45,0.73,0.18,0.0,0.59,0.09
ivataopenportal.csv,0.54,0.37,0.32,0.9,0.18,0.73,0.62,0.82,0.0,0.81,0.63
mb-unit.csv,0.5,0.24,0.25,0.77,0.16,0.68,0.63,0.57,0.05,0.81,0.6
mvdsv.csv,0.07,0.26,0.0,0.12,0.86,0.02,0.11,0.14,0.0,0.3,0.15
nova.csv,0.47,0.62,0.31,0.69,0.0,0.6,0.59,0.74,0.05,0.6,0.58
olex2.csv,0.49,0.36,0.34,0.72,0.28,0.65,0.58,0.54,0.0,0.62,0.69
openwbem.csv,0.57,0.32,0.35,0.66,0.24,0.59,0.39,0.75,0.07,0.65,0.58
xcmetadataservicestoolkit.csv,0.27,0.29,0.28,0.59,0.0,0.62,0.7,0.34,0.05,0.83,0.59
