,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.94,1.0,0.71,0.8,1.0,0.68,0.59,0.08,1.0,0.8,1.0
cubefs.csv,0.25,1.0,1.0,0.68,0.33,0.68,0.67,0.66,0.0,0.57,1.0
iaml.csv,0.17,0.0,0.43,0.15,0.67,0.38,0.69,0.1,0.0,0.52,0.05
ivataopenportal.csv,0.86,1.0,0.9,0.95,1.0,0.75,0.75,1.0,0.0,0.9,1.0
mb-unit.csv,0.89,0.23,0.57,0.67,1.0,0.96,0.7,0.42,1.0,0.88,0.65
mvdsv.csv,0.04,0.31,0.0,0.07,1.0,0.01,0.06,0.08,0.0,0.18,0.08
nova.csv,0.75,0.77,0.86,0.59,0.0,0.77,0.53,0.82,1.0,0.48,0.7
olex2.csv,0.67,0.54,0.57,0.6,0.67,0.9,0.54,0.42,0.0,0.5,0.7
openwbem.csv,0.58,0.23,0.43,0.52,0.67,0.73,0.26,0.78,1.0,0.52,0.63
xcmetadataservicestoolkit.csv,0.22,0.54,0.9,0.45,0.0,0.78,0.8,0.21,1.0,0.78,0.85
