,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.0,17.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,1.0,4.0
cubefs.csv,2.0,17.0,17.0,2.0,26.0,0.0,1.0,0.0,59.0,0.0,4.0
iaml.csv,18.0,56.0,15.0,0.0,7.0,3.0,1.0,0.0,59.0,1.0,1.0
ivataopenportal.csv,0.0,17.0,10.0,0.0,19.0,0.0,1.0,0.0,59.0,0.0,4.0
mb-unit.csv,0.0,7.0,28.0,0.0,27.0,0.0,1.0,0.0,12.0,0.0,1.0
mvdsv.csv,0.0,2.0,120.0,0.0,0.0,1.0,2.0,0.0,59.0,0.0,0.0
nova.csv,9.0,1.0,16.0,0.0,68.0,0.0,0.0,0.0,10.0,0.0,3.0
olex2.csv,7.0,14.0,2.0,0.0,19.0,0.0,1.0,0.0,59.0,0.0,0.0
openwbem.csv,0.0,3.0,4.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,10.0
xcmetadataservicestoolkit.csv,0.0,10.0,17.0,0.0,68.0,0.0,0.0,0.0,10.0,0.0,4.0
