,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.63,0.33,0.64,0.38,0.26,0.0,0.06,0.54,0.71,0.51,0.0,0.28,0.18
emono.csv,0.48,0.37,0.56,0.45,0.57,0.13,0.56,0.51,0.38,0.34,0.51,0.52,0.68
freedom-erp.csv,0.07,0.35,0.37,0.2,0.11,0.1,0.01,0.73,0.0,0.31,0.0,0.04,0.07
haggle.csv,0.44,0.63,0.36,0.46,0.67,0.39,0.21,0.02,0.64,0.65,0.14,0.32,0.3
jbpm.csv,0.14,0.79,0.0,0.11,0.17,0.0,0.0,0.18,0.0,0.11,0.0,0.04,0.0
jgossipforum.csv,0.44,0.16,0.37,0.65,0.46,0.32,0.17,0.05,0.98,0.41,0.73,0.5,0.38
joustsim.csv,0.44,0.76,0.36,0.48,0.64,0.12,0.37,0.19,0.91,0.83,0.72,0.31,0.58
log4net.csv,0.59,0.31,0.98,0.16,0.11,0.61,0.19,0.43,0.0,0.72,0.9,0.17,0.44
madman.csv,0.57,0.21,0.37,0.15,0.41,0.49,0.26,0.57,0.23,0.62,0.93,0.38,0.3
mediate.csv,0.28,0.56,0.82,0.3,0.43,0.68,0.31,0.58,0.73,0.64,0.29,0.49,0.33
pustefix.csv,0.14,0.53,0.36,0.73,0.5,0.18,0.66,0.32,0.24,0.11,0.64,0.51,0.5
synecdoche.csv,0.52,0.64,0.62,0.51,0.32,0.61,0.56,0.68,0.23,0.48,0.36,0.65,0.09
tmva.csv,0.48,0.09,0.57,0.43,0.35,0.0,0.74,0.0,0.44,0.0,0.51,0.32,0.32
