,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.48,0.88,0.55,0.94,0.9,1.0,0.95,0.78,0.56,0.75,1.0,0.76,0.86
emono.csv,0.83,0.93,0.74,0.86,0.73,0.97,0.72,0.82,0.9,0.96,0.69,0.8,0.47
freedom-erp.csv,0.95,0.72,0.69,0.83,0.91,0.92,0.99,0.4,1.0,0.76,1.0,0.97,0.94
haggle.csv,0.79,0.47,0.77,0.67,0.52,0.74,0.82,0.98,0.42,0.46,0.89,0.78,0.74
jbpm.csv,0.88,0.27,1.0,0.91,0.86,1.0,1.0,0.85,1.0,0.92,1.0,0.97,1.0
jgossipforum.csv,0.8,0.9,0.7,0.59,0.63,0.78,0.88,0.96,0.08,0.64,0.43,0.74,0.7
joustsim.csv,0.79,0.4,0.78,0.84,0.7,0.9,0.93,0.96,0.32,0.21,0.6,0.94,0.69
log4net.csv,0.64,0.76,0.11,0.88,0.93,0.58,0.87,0.68,1.0,0.42,0.35,0.86,0.63
madman.csv,0.74,1.01,0.72,0.96,0.66,0.65,0.79,0.53,0.9,0.71,0.27,0.71,0.77
mediate.csv,0.95,0.7,0.53,0.79,0.64,0.52,0.75,0.69,0.5,0.52,0.77,0.62,0.73
pustefix.csv,0.91,0.56,0.8,0.39,0.7,0.86,0.65,0.76,0.83,0.91,0.71,0.72,0.72
synecdoche.csv,0.61,0.6,0.62,0.63,0.77,0.69,0.53,0.69,0.89,0.84,0.9,0.43,0.98
tmva.csv,0.84,0.98,0.79,0.87,0.9,1.0,0.34,1.0,0.86,1.0,0.66,0.73,0.75
