,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.91,0.97,0.69,0.5,0.83,0.0
exl.csv,0.62,0.53,0.43,0.49,0.67,0.41
opennms.csv,0.7,0.98,0.81,0.67,0.65,0.83
phet.csv,0.46,0.98,0.94,0.55,0.73,0.92
runuomondains.csv,0.86,0.97,0.86,0.83,0.88,0.96
