,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.12,0.13,0.0,0.0,0.08,0.0
exl.csv,0.49,0.41,0.58,0.0,0.32,0.08
opennms.csv,0.03,0.16,0.25,0.0,0.22,0.0
phet.csv,0.62,0.0,0.23,1.0,0.51,0.46
runuomondains.csv,0.09,0.13,0.21,0.0,0.0,0.77
