,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.72,0.98,0.52,0.75,0.64,0.63,0.0,0.75,0.67,0.67,0.71,0.9,0.67,0.88
crux-framework.csv,0.74,0.51,0.95,0.68,0.8,0.6,0.51,0.93,0.53,0.92,0.83,0.9,0.93,0.86
etherboot.csv,0.88,0.92,0.0,0.5,0.63,0.94,0.0,0.77,0.51,0.34,0.9,0.0,0.5,0.44
freebios.csv,0.58,0.96,0.72,0.67,0.76,0.94,0.64,0.84,0.79,0.44,0.67,0.99,0.54,0.92
gebr.csv,0.4,0.36,0.49,0.43,0.46,0.49,0.39,0.42,0.39,0.33,0.44,0.37,0.42,0.41
gnukeda.csv,0.47,0.57,0.67,0.53,0.46,0.49,0.47,0.54,0.54,0.76,0.47,0.91,0.47,0.44
google-gears.csv,0.44,0.42,0.48,0.56,0.43,0.49,0.4,0.47,0.4,0.4,0.49,0.35,0.52,0.42
gstreamer.csv,0.42,0.41,0.48,0.44,0.41,0.43,0.43,0.44,0.39,0.36,0.47,0.41,0.45,0.41
jnode.csv,0.8,0.57,0.85,0.64,0.89,0.9,0.94,0.79,0.96,0.89,0.96,0.97,0.94,0.67
metacosm.csv,0.71,0.39,0.39,0.56,0.6,0.48,0.9,0.44,0.5,0.47,0.53,0.78,0.43,0.41
openmeetings.csv,0.46,0.54,0.4,0.67,0.4,0.36,0.75,0.47,0.37,0.57,0.57,0.5,0.6,0.43
pgui.csv,0.54,0.47,0.0,0.62,0.48,0.42,0.73,0.61,0.58,0.49,0.54,0.0,0.44,0.41
tradelink.csv,0.87,0.47,0.44,0.68,0.5,0.63,0.6,0.5,0.5,0.67,0.7,0.39,0.61,0.52
wxcrp.csv,0.47,0.42,0.4,0.49,0.41,0.36,0.39,0.44,0.41,0.57,0.46,0.31,0.54,0.44
