,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.91,0.72,0.66,0.79,0.18,0.78,1.0,0.94,0.95,1.0,0.69,0.76
fityk.csv,0.84,0.77,0.76,0.7,0.89,0.78,0.61,0.74,0.02,0.84,0.57,0.73
hatari.csv,0.0,0.8,0.54,0.67,0.65,0.65,0.62,0.8,0.57,0.76,1.01,0.54
lmms.csv,0.69,0.92,0.89,0.03,0.63,0.76,0.69,0.6,0.78,0.75,0.92,0.75
mecat.csv,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
nullc.csv,0.97,0.04,0.69,0.83,0.87,0.74,0.85,0.82,1.0,0.65,0.68,0.66
oscarmcmaster.csv,0.71,0.84,0.57,0.9,0.91,0.81,0.45,0.81,0.88,0.67,0.8,0.06
superwaba.csv,0.57,0.68,0.04,0.63,0.69,0.92,0.73,0.63,0.56,0.67,0.55,0.6
tycho.csv,1.0,0.69,0.62,0.63,0.76,0.83,0.84,0.04,0.65,0.72,0.63,0.74
vienna-add-in.csv,0.89,0.64,0.74,0.78,0.65,0.01,0.59,0.71,0.63,0.7,0.96,0.6
voms.csv,0.84,0.98,0.63,0.95,1.0,0.96,0.0,0.94,0.96,0.67,0.92,0.91
wsmt.csv,1.0,0.86,0.76,0.93,0.75,0.77,0.93,0.97,0.93,1.03,0.03,0.89
