,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.74,0.82,0.63,0.81,0.89,0.91,0.0,0.5,0.5,0.67,0.93,0.66
fityk.csv,0.45,0.5,0.83,0.47,0.46,0.49,0.62,0.46,0.44,0.44,0.52,0.5
hatari.csv,0.59,0.73,0.49,0.64,0.5,0.58,0.52,0.65,0.62,0.37,0.67,0.58
lmms.csv,0.61,0.5,0.95,0.5,0.51,0.69,0.53,0.46,0.53,0.52,0.56,0.58
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
nullc.csv,0.42,0.46,0.51,0.4,0.44,0.44,0.66,0.44,0.35,0.33,0.4,0.44
oscarmcmaster.csv,0.67,0.88,0.67,0.93,0.67,0.95,0.9,0.8,0.9,0.75,0.5,0.98
superwaba.csv,0.43,0.47,0.54,0.46,0.6,0.47,0.64,0.36,0.39,0.41,0.45,0.48
tycho.csv,0.0,0.59,0.55,0.58,0.8,0.45,0.57,0.53,0.49,0.67,0.46,0.66
vienna-add-in.csv,0.43,0.48,0.63,0.88,0.47,0.54,0.52,0.52,0.78,0.41,0.88,0.56
voms.csv,0.64,0.0,0.75,0.91,0.0,0.67,0.89,0.5,0.67,0.67,0.8,0.8
wsmt.csv,0.0,0.79,0.93,0.94,0.92,0.9,0.94,0.0,0.67,0.93,0.59,0.97
