,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,bigdata.csv,wsmt.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.29,0.42,0.63,0.51,0.19,0.31,0.56,0.59,0.48,0.13,0.16,0.75,0.74,0.3,0.39,0.51,0.23,0.71,0.91,0.42
apertium.csv,0.76,0.18,0.22,0.28,0.44,0.42,0.38,0.05,0.52,0.67,0.8,0.06,0.16,0.64,0.18,0.34,0.34,0.15,0.0,0.53
beast-mcmc.csv,0.74,0.7,0.69,0.69,0.64,0.64,0.7,0.64,0.8,0.57,0.68,0.62,0.97,0.89,0.75,0.8,0.43,0.68,0.64,0.95
bigdata.csv,0.41,0.27,0.35,0.41,0.66,0.61,0.23,1.0,0.44,0.21,0.04,0.56,0.45,0.45,1.0,0.8,0.2,0.07,0.18,0.21
cuberok.csv,0.47,0.67,0.2,0.44,0.23,0.72,0.46,0.73,0.6,0.37,0.32,0.56,0.9,0.32,0.32,0.53,0.57,0.41,1.0,0.37
exist.csv,0.92,1.0,0.98,0.92,0.88,0.89,0.97,0.86,1.0,0.9,0.6,0.88,0.79,0.94,0.82,0.47,1.0,0.76,1.0,0.95
icescrum.csv,0.7,0.33,0.29,0.33,0.48,0.36,0.48,0.45,0.6,0.48,0.48,0.12,0.25,0.7,0.43,0.35,0.29,0.37,0.18,0.68
jbasic.csv,0.83,0.58,0.63,0.54,0.95,0.78,0.86,0.41,0.84,0.79,0.96,0.56,0.96,0.91,0.11,0.42,0.43,0.71,0.91,0.89
jgnash.csv,0.56,0.61,0.41,0.85,0.78,0.33,0.62,0.59,0.6,0.25,0.28,0.5,0.38,0.43,0.54,0.58,0.43,0.49,0.18,0.79
jrefactory.csv,0.56,0.7,0.76,0.69,0.39,0.19,0.41,0.55,0.4,0.51,0.44,0.81,0.11,0.51,0.64,0.26,0.97,0.46,0.36,0.53
jsecurity.csv,0.24,0.58,0.39,0.64,0.14,0.44,0.4,0.36,0.44,0.24,0.24,0.25,0.66,0.36,0.18,0.16,0.17,0.27,0.14,0.21
libopenmetaverse.csv,0.98,1.0,1.0,1.0,1.0,0.61,0.99,0.68,1.0,1.0,0.96,0.94,0.49,0.98,1.0,1.0,1.0,0.78,0.27,1.0
mobicents.csv,0.85,0.82,0.55,0.49,0.55,0.64,0.69,0.91,0.68,0.97,0.72,0.69,0.95,0.81,0.64,0.65,0.94,0.71,0.95,0.84
mp-rechnungs-und-kundenverwaltung.csv,0.92,0.67,0.57,0.77,0.7,0.14,0.61,0.5,0.32,1.0,0.88,0.25,0.14,0.64,0.11,0.69,0.8,0.41,0.14,0.42
opendvr.csv,0.67,0.61,0.33,0.46,0.39,0.92,0.51,0.23,0.6,0.43,0.36,0.19,0.98,0.79,0.36,0.52,0.2,0.34,0.64,0.58
openefm.csv,0.59,0.61,0.53,0.59,0.17,0.5,0.62,0.41,0.56,0.19,0.72,0.25,0.54,0.49,0.54,0.28,0.29,0.39,0.64,0.95
sidekar.csv,0.0,0.42,0.0,0.0,0.77,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0
wheat.csv,0.59,0.58,0.2,0.51,0.45,0.53,0.61,0.5,0.64,0.52,0.84,0.44,0.94,0.62,0.64,0.58,0.2,0.54,0.59,0.68
wsmt.csv,0.23,0.27,0.12,0.1,0.03,0.08,0.39,0.09,0.16,0.35,0.04,0.12,0.21,0.11,0.14,0.32,0.77,0.05,0.09,0.0
yarp0.csv,0.71,0.67,0.51,0.85,0.67,0.72,0.58,0.59,0.4,0.89,0.92,0.69,0.68,0.89,0.54,0.52,0.71,0.56,0.27,0.47
