,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,0.02,0.87,0.28,1.0,0.31,0.31,0.83,0.9,0.42,0.18,0.04,0.17,0.52,0.32
encog-cs.csv,0.01,0.91,0.27,0.86,0.29,0.32,0.8,0.93,1.0,0.18,0.03,0.39,0.57,0.4
extprosys.csv,0.0,0.84,0.98,0.89,0.27,0.31,0.79,0.95,0.34,0.19,0.02,0.4,0.65,0.36
intact.csv,0.0,0.9,0.29,1.0,0.39,1.0,0.74,0.95,0.49,0.15,0.04,0.33,0.61,0.27
japano.csv,0.01,0.89,0.3,0.87,0.21,0.29,0.82,1.0,0.36,0.2,0.03,0.31,0.58,0.35
lockss.csv,0.0,0.8,0.38,1.0,0.4,0.5,0.75,1.0,0.41,1.0,0.02,0.0,0.4,0.0
officefloor.csv,0.0,0.93,0.24,0.89,0.29,0.26,0.76,0.94,0.22,0.13,1.0,0.4,0.59,0.39
opennms.csv,0.05,1.0,0.08,1.0,1.0,0.5,0.88,0.93,0.54,0.38,0.05,0.5,0.36,0.5
primefaces.csv,0.01,0.81,0.29,0.89,0.26,0.29,0.78,0.9,0.39,0.15,0.03,0.31,0.98,0.38
rohxel.csv,0.01,0.81,0.39,0.94,0.28,0.27,1.0,0.94,0.44,0.24,0.04,0.38,0.54,0.39
roolo.csv,0.0,0.88,0.56,0.92,0.31,0.38,1.0,1.0,0.65,0.35,0.04,0.95,0.4,0.5
sevenupdate.csv,0.01,1.0,0.28,0.89,0.26,0.26,0.78,0.92,0.36,0.22,0.03,0.3,0.58,0.39
web-cat.csv,0.02,0.89,0.26,0.87,0.29,0.25,0.8,0.93,0.32,0.17,0.02,0.38,0.65,0.95
