,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,primefaces.csv,web-cat.csv
cleartk.csv,1.0,0.67,0.89,0.99,0.39,0.57,0.64,0.52,0.52,0.27,0.84,0.05,0.38,0.53
encog-cs.csv,1.0,0.88,0.79,0.81,0.79,0.83,0.85,0.9,0.97,0.68,0.79,0.9,0.9,0.89
extprosys.csv,0.0,0.65,0.92,0.87,0.89,0.73,0.69,0.76,0.73,0.82,0.58,0.85,0.8,0.53
intact.csv,0.0,0.96,0.09,0.16,0.57,1.0,0.79,0.3,0.33,0.32,0.45,0.75,0.95,0.16
japano.csv,1.0,1.0,0.92,0.84,0.64,0.93,0.85,1.0,1.0,0.91,1.0,0.75,0.92,0.84
lockss.csv,0.0,0.08,0.09,0.02,0.07,0.13,0.08,0.04,0.14,0.95,0.05,0.0,0.05,0.0
officefloor.csv,0.0,0.29,0.15,0.71,0.43,0.27,0.49,0.54,0.18,0.18,0.89,0.5,0.4,0.47
opennms.csv,1.0,0.33,0.02,0.14,0.96,0.07,0.18,0.1,0.2,0.23,0.26,0.3,0.12,0.11
primefaces.csv,1.0,0.51,0.98,0.65,0.5,0.73,0.82,0.52,0.21,0.18,0.5,0.5,1.0,0.63
rohxel.csv,1.0,0.45,0.53,0.6,0.71,0.53,0.95,0.74,0.85,0.82,0.61,0.75,0.7,0.79
roolo.csv,0.0,0.29,0.09,0.21,0.14,0.17,0.15,0.21,0.17,0.32,0.55,0.95,0.05,0.16
sevenupdate.csv,1.0,1.0,0.98,0.86,0.61,0.67,0.92,0.76,0.71,0.91,0.97,0.65,0.85,0.95
web-cat.csv,1.0,0.65,0.58,0.77,0.79,0.47,0.85,0.53,0.38,0.41,0.53,0.75,0.85,1.0
