,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,doomlegacy.csv,illumination.csv,pi-qmc.csv,bibletime.csv
bibletime.csv,0.5,1.0,0.89,0.7,0.53,0.75,0.72,1.0,0.97,0.29,0.6,0.79,0.63,0.69,0.7,0.94,0.82,0.73
decidr.csv,0.57,1.0,0.86,0.83,0.79,0.94,0.74,0.98,1.0,0.93,0.93,0.85,0.92,0.92,0.86,0.76,1.0,0.98
doomlegacy.csv,0.82,0.0,1.0,0.3,0.78,0.89,0.96,0.36,0.32,0.93,0.72,0.91,1.0,0.92,0.76,0.41,1.0,0.71
elmo.csv,0.43,0.6,0.13,0.26,0.37,0.19,0.47,0.39,0.36,0.43,0.09,0.39,0.35,0.62,0.44,0.53,0.77,0.29
gpac.csv,0.37,1.0,0.68,0.67,0.19,0.47,0.86,0.71,0.99,0.79,0.49,0.42,0.87,0.46,0.12,0.53,0.82,0.21
illumination.csv,0.0,0.8,0.07,0.54,0.0,0.83,0.02,0.0,0.0,0.5,0.61,0.3,1.0,1.0,0.0,0.82,1.0,0.89
img-browse-sort.csv,0.78,0.4,0.56,0.63,0.61,0.64,0.75,0.52,0.38,0.71,0.73,0.55,0.87,0.77,0.28,0.59,0.23,0.68
ktc.csv,0.76,0.4,0.69,0.11,0.61,0.36,0.48,0.5,0.44,0.43,0.21,0.64,0.63,0.92,0.55,0.35,0.64,0.55
neoengine.csv,0.45,1.0,0.63,0.59,0.42,0.61,0.71,0.98,0.79,0.71,0.18,0.85,0.63,0.92,0.62,0.65,0.86,0.58
nicepress.csv,0.63,0.8,0.95,0.43,0.77,0.78,0.8,0.89,0.97,0.43,0.54,0.58,0.83,0.54,0.4,0.53,0.73,0.61
omseek.csv,0.26,0.0,0.13,0.0,0.22,0.03,0.19,0.04,0.11,0.36,0.13,0.67,0.58,0.54,0.08,0.18,0.27,0.26
pi-qmc.csv,0.43,0.8,0.75,0.72,0.45,0.58,0.49,0.91,0.95,0.43,0.48,0.79,0.52,0.85,0.62,0.82,0.77,0.5
rosegarden.csv,0.83,0.6,0.93,0.3,0.72,0.56,0.7,0.57,0.38,0.29,0.39,0.91,0.92,1.0,0.84,0.24,0.73,0.68
sigil.csv,0.78,0.4,0.49,0.52,0.59,0.42,0.61,0.21,0.13,1.0,0.76,0.67,0.87,0.62,0.31,0.29,0.36,0.61
smarttag.csv,0.88,0.6,0.89,0.59,0.71,0.53,0.5,0.64,0.49,0.5,0.66,0.58,0.44,0.62,0.88,0.82,0.55,0.65
sylpheed-claws.csv,0.92,1.0,0.81,0.89,0.84,1.0,0.88,0.68,0.68,0.93,0.97,0.97,1.0,0.92,0.96,1.0,0.95,0.97
xemeiah.csv,0.65,0.2,0.92,0.28,0.67,0.86,0.94,0.82,0.88,0.79,0.79,0.36,0.71,0.92,0.4,0.0,0.68,0.55
zscreen.csv,0.78,0.2,0.55,0.78,0.6,0.81,0.75,0.2,0.16,0.36,0.73,0.82,0.79,0.77,0.52,0.65,0.32,0.88
