,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.84,0.75,0.83,0.88,0.81,0.62,0.59,0.84,0.83,0.03
geotools.csv,0.88,0.79,0.85,0.8,0.76,0.87,0.12,0.72,0.99,0.82
gephex.csv,0.74,0.78,0.64,0.61,0.72,0.57,0.58,0.02,0.8,0.72
haggle.csv,0.8,0.01,0.6,0.87,0.72,0.84,0.65,0.82,0.87,0.91
java-gnome.csv,0.8,0.72,0.49,0.06,0.62,0.37,0.6,0.82,0.75,0.62
jgnash.csv,0.92,0.79,0.04,0.79,0.66,0.69,0.6,0.89,0.93,0.96
jrdf.csv,0.91,0.91,0.62,0.59,0.84,0.07,0.63,0.89,0.84,0.79
mpqc.csv,0.3,0.75,0.95,0.84,0.77,0.96,0.88,0.86,0.77,0.35
panda3d.csv,1.01,0.81,0.76,0.97,0.08,0.74,0.8,0.72,0.83,0.85
tencompetence.csv,0.8,0.85,0.79,0.61,0.79,0.83,0.85,0.93,0.04,1.05
