,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.42,0.51,0.38,0.41,0.41,0.36,0.49,0.35,0.42,0.43
geotools.csv,0.96,0.77,0.96,0.7,0.57,0.67,0.71,0.93,0.9,0.77
gephex.csv,0.62,0.51,0.68,0.44,0.47,0.48,0.48,0.47,0.6,0.51
haggle.csv,0.49,0.56,0.57,0.61,0.43,0.34,0.44,0.35,0.49,0.88
java-gnome.csv,0.55,0.48,0.62,0.41,0.42,0.46,0.43,0.94,0.46,0.59
jgnash.csv,0.96,0.68,0.96,0.92,0.61,0.5,0.48,0.89,0.96,0.93
jrdf.csv,0.93,0.94,0.74,0.54,0.97,0.86,0.47,0.89,0.79,0.74
mpqc.csv,0.93,0.88,0.73,0.95,0.88,0.93,0.76,0.41,0.74,0.48
panda3d.csv,0.94,0.94,0.91,0.67,0.78,0.89,0.79,0.86,0.98,0.94
tencompetence.csv,0.97,0.85,0.71,0.42,0.82,0.46,0.59,0.92,0.64,0.83
