,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.81,0.73,0.82,0.88,0.79,0.56,0.46,0.83,0.72,0.03
geotools.csv,0.23,0.27,0.15,0.31,0.28,0.02,0.0,0.17,0.09,0.24
gephex.csv,0.55,0.73,0.32,0.5,0.7,0.32,0.32,0.02,0.25,0.47
haggle.csv,0.53,0.0,0.36,0.56,0.65,0.8,0.39,0.76,0.42,0.06
java-gnome.csv,0.62,0.46,0.28,0.06,0.51,0.25,0.37,0.07,0.36,0.26
jgnash.csv,0.19,0.2,0.01,0.06,0.21,0.34,0.26,0.02,0.13,0.26
jrdf.csv,0.11,0.22,0.17,0.12,0.22,0.0,0.31,0.02,0.2,0.29
mpqc.csv,0.01,0.49,0.57,0.38,0.5,0.24,0.51,0.83,0.64,0.32
panda3d.csv,0.17,0.05,0.25,0.06,0.01,0.08,0.21,0.29,0.15,0.21
tencompetence.csv,0.29,0.39,0.47,0.5,0.26,0.73,0.67,0.15,0.02,0.53
